ensembl_transcript_id	external_gene_name
ENST00000387314	MT-TF
ENST00000389680	MT-RNR1
ENST00000387342	MT-TV
ENST00000387347	MT-RNR2
ENST00000386347	MT-TL1
ENST00000361390	MT-ND1
ENST00000387365	MT-TI
ENST00000387372	MT-TQ
ENST00000387377	MT-TM
ENST00000361453	MT-ND2
ENST00000387382	MT-TW
ENST00000387392	MT-TA
ENST00000387400	MT-TN
ENST00000387405	MT-TC
ENST00000387409	MT-TY
ENST00000361624	MT-CO1
ENST00000387416	MT-TS1
ENST00000387419	MT-TD
ENST00000361739	MT-CO2
ENST00000387421	MT-TK
ENST00000361851	MT-ATP8
ENST00000361899	MT-ATP6
ENST00000362079	MT-CO3
ENST00000387429	MT-TG
ENST00000361227	MT-ND3
ENST00000387439	MT-TR
ENST00000361335	MT-ND4L
ENST00000361381	MT-ND4
ENST00000387441	MT-TH
ENST00000387449	MT-TS2
ENST00000387456	MT-TL2
ENST00000361567	MT-ND5
ENST00000361681	MT-ND6
ENST00000387459	MT-TE
ENST00000361789	MT-CYB
ENST00000387460	MT-TT
ENST00000387461	MT-TP
ENST00000761542	
ENST00000761543	
ENST00000761544	
ENST00000761545	
ENST00000761546	
ENST00000761547	
ENST00000761548	
ENST00000761549	
ENST00000761550	
ENST00000761551	
ENST00000761552	
ENST00000761553	
ENST00000761554	
ENST00000761555	
ENST00000761556	
ENST00000761557	
ENST00000837528	
ENST00000837529	
ENST00000797658	
ENST00000797659	
ENST00000797660	
ENST00000797661	
ENST00000797662	
ENST00000797663	
ENST00000797664	
ENST00000797665	
ENST00000797666	
ENST00000797667	
ENST00000797668	
ENST00000797669	
ENST00000797670	
ENST00000797671	
ENST00000797672	
ENST00000797673	
ENST00000797674	
ENST00000797675	
ENST00000797676	
ENST00000797677	
ENST00000797678	
ENST00000797679	
ENST00000797680	
ENST00000797681	
ENST00000797682	
ENST00000797683	
ENST00000797684	
ENST00000797685	
ENST00000797686	
ENST00000797687	
ENST00000797688	
ENST00000797689	
ENST00000797690	
ENST00000797691	
ENST00000797692	
ENST00000797693	
ENST00000797694	
ENST00000797695	
ENST00000797696	
ENST00000797697	
ENST00000797698	
ENST00000797699	
ENST00000797700	
ENST00000797701	
ENST00000797702	
ENST00000797703	
ENST00000797704	
ENST00000797705	
ENST00000797706	
ENST00000797707	
ENST00000797708	
ENST00000797709	
ENST00000797710	
ENST00000797711	
ENST00000797712	
ENST00000797713	
ENST00000797714	
ENST00000797715	
ENST00000797716	
ENST00000797717	
ENST00000797718	
ENST00000797719	
ENST00000797720	
ENST00000797721	
ENST00000797722	
ENST00000797723	
ENST00000614336	
ENST00000612640	
ENST00000616830	U6
ENST00000618686	
ENST00000747868	
ENST00000747869	
ENST00000747962	
ENST00000762496	
ENST00000762497	
ENST00000762498	
ENST00000797946	
ENST00000797947	
ENST00000797948	
ENST00000797949	
ENST00000797950	
ENST00000797951	
ENST00000797952	
ENST00000797953	
ENST00000797954	
ENST00000797955	
ENST00000797956	
ENST00000797957	
ENST00000797958	
ENST00000797959	
ENST00000616049	
ENST00000616157	
ENST00000620265	5S_rRNA
ENST00000615362	
ENST00000755714	
ENST00000755715	
ENST00000755716	
ENST00000755717	
ENST00000755718	
ENST00000755719	
ENST00000755720	
ENST00000755721	
ENST00000819228	
ENST00000819229	
ENST00000728336	
ENST00000728337	
ENST00000738464	
ENST00000613230	
ENST00000829179	
ENST00000829180	
ENST00000821887	
ENST00000619792	
ENST00000805939	
ENST00000805940	
ENST00000805941	
ENST00000805942	
ENST00000805943	
ENST00000805944	
ENST00000805945	
ENST00000805946	
ENST00000805947	
ENST00000805948	
ENST00000805949	
ENST00000805950	
ENST00000805951	
ENST00000805952	
ENST00000805953	
ENST00000805954	
ENST00000805955	
ENST00000805956	
ENST00000805957	
ENST00000805958	
ENST00000805959	
ENST00000805960	
ENST00000805961	
ENST00000805962	
ENST00000805963	
ENST00000805964	
ENST00000805965	
ENST00000805966	
ENST00000805967	
ENST00000805968	
ENST00000805969	
ENST00000805970	
ENST00000805971	
ENST00000805972	
ENST00000805973	
ENST00000805974	
ENST00000805975	
ENST00000805976	
ENST00000805977	
ENST00000805978	
ENST00000805979	
ENST00000805980	
ENST00000805981	
ENST00000805982	
ENST00000805983	
ENST00000805984	
ENST00000805985	
ENST00000805986	
ENST00000805987	
ENST00000805988	
ENST00000805989	
ENST00000805990	
ENST00000805991	
ENST00000805992	
ENST00000805993	
ENST00000805994	
ENST00000805995	
ENST00000805996	
ENST00000805997	
ENST00000805998	
ENST00000805999	
ENST00000806000	
ENST00000806001	
ENST00000806002	
ENST00000806003	
ENST00000806004	
ENST00000806005	
ENST00000806006	
ENST00000806007	
ENST00000806008	
ENST00000806009	
ENST00000806010	
ENST00000806011	
ENST00000806012	
ENST00000806013	
ENST00000806014	
ENST00000806015	
ENST00000806016	
ENST00000806017	
ENST00000806018	
ENST00000806019	
ENST00000806020	
ENST00000806021	
ENST00000806022	
ENST00000806023	
ENST00000806024	
ENST00000806025	
ENST00000806026	
ENST00000806027	
ENST00000806028	
ENST00000806029	
ENST00000806030	
ENST00000806031	
ENST00000806032	
ENST00000806033	
ENST00000806034	
ENST00000806035	
ENST00000806036	
ENST00000806037	
ENST00000806038	
ENST00000806039	
ENST00000806040	
ENST00000806041	
ENST00000806042	
ENST00000806043	
ENST00000806044	
ENST00000806045	
ENST00000806046	
ENST00000806047	
ENST00000806048	
ENST00000806049	
ENST00000806050	
ENST00000806051	
ENST00000806052	
ENST00000806053	
ENST00000806054	
ENST00000806055	
ENST00000806056	
ENST00000806057	
ENST00000806058	
ENST00000806059	
ENST00000806060	
ENST00000806061	
ENST00000806062	
ENST00000806063	
ENST00000806064	
ENST00000806065	
ENST00000806066	
ENST00000806067	
ENST00000806068	
ENST00000806069	
ENST00000806070	
ENST00000806071	
ENST00000806072	
ENST00000806073	
ENST00000806074	
ENST00000806075	
ENST00000806076	
ENST00000806077	
ENST00000806078	
ENST00000806079	
ENST00000806080	
ENST00000806081	
ENST00000806082	
ENST00000806083	
ENST00000806084	
ENST00000806085	
ENST00000806086	
ENST00000806087	
ENST00000806088	
ENST00000806089	
ENST00000806090	
ENST00000619317	
ENST00000752237	
ENST00000752238	
ENST00000752239	
ENST00000752240	
ENST00000752241	
ENST00000752242	
ENST00000752243	
ENST00000772555	
ENST00000772556	
ENST00000772557	
ENST00000772558	
ENST00000803246	
ENST00000803247	
ENST00000611690	5_8S_rRNA
ENST00000611446	RNA5-8SN5
ENST00000724920	
ENST00000724921	
ENST00000724922	
ENST00000724923	
ENST00000724924	
ENST00000620795	
ENST00000823014	
ENST00000743439	
ENST00000619779	5_8S_rRNA
ENST00000400754	MAFIP
ENST00000621424	
ENST00000615165	
ENST00000614535	
ENST00000835177	
ENST00000729673	
ENST00000729674	
ENST00000729675	
ENST00000729676	
ENST00000729677	
ENST00000729678	
ENST00000729679	
ENST00000729680	
ENST00000729681	
ENST00000729682	
ENST00000729683	
ENST00000729684	
ENST00000729685	
ENST00000729686	
