PeakID (cmd=annotatePeaks.pl gain_W281PvW281X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
40	chr4	128386969	128387468	+	0	NA	Intergenic	Intergenic	-40798	NR_125882	100507487	Hs.549644	NR_125882	ENSG00000251432	LINC02615	-	long intergenic non-protein coding RNA 2615	ncRNA
96	chr2	153388162	153388661	+	0	NA	Intergenic	Intergenic	90351	NM_019845	56475	Hs.100890	NM_019845	ENSG00000177519	RPRM	REPRIMO	reprimo, TP53 dependent G2 arrest mediator homolog	protein-coding
97	chr3	16370783	16371282	+	0	NA	intron (NM_015150, intron 5 of 9)	intron (NM_015150, intron 5 of 9)	105820	NM_001352978	92106	Hs.655449	NM_138381	ENSG00000154814	OXNAD1	-	oxidoreductase NAD binding domain containing 1	protein-coding
119	chr20	1415896	1416395	+	0	NA	Intergenic	L2c|LINE|L2	-22973	NR_037661	100528031	Hs.471933	NR_037661		FKBP1A-SDCBP2	-	FKBP1A-SDCBP2 readthrough (NMD candidate)	ncRNA
218	chr4	156476312	156476811	+	0	NA	Intergenic	Intergenic	495238	NR_036641	56034	Hs.570855	NM_016205	ENSG00000145431	PDGFC	FALLOTEIN|SCDGF	platelet derived growth factor C	protein-coding
26	chr21	36097331	36098322	+	0	NA	intron (NR_040084, intron 2 of 3)	MER4B-int|LTR|ERV1	-7055	NR_147887	105369306		NR_147887	ENSG00000233393	LOC105369306	-	uncharacterized LOC105369306	ncRNA
27	chr5	173824097	173824596	+	0	NA	Intergenic	Intergenic	-33404	NR_108028	101928154	Hs.366725	NR_108028		LINC01485	-	long intergenic non-protein coding RNA 1485	ncRNA
258	chr11	60305983	60306482	+	0	NA	intron (NM_024021, intron 7 of 7)	MLT1E1|LTR|ERVL-MaLR	25566	NM_024021	51338	Hs.325960	NM_024021	ENSG00000110079	MS4A4A	4SPAN1|CD20-L1|CD20L1|HDCME31P|MS4A4|MS4A7	membrane spanning 4-domains A4A	protein-coding
159	chr3	5023230	5023729	+	0	NA	Intergenic	Intergenic	-43518	NR_125915	100507582	Hs.434505	NR_037903	ENSG00000235831	BHLHE40-AS1	-	BHLHE40 antisense RNA 1	ncRNA
137	chr14	31336614	31337113	+	0	NA	intron (NM_015473, intron 22 of 35)	Tigger3a|DNA|TcMar-Tigger	83687	NM_015473	25938	Hs.744979	NM_015473	ENSG00000129493	HEATR5A	C14orf125	HEAT repeat containing 5A	protein-coding
200	chr6	11667787	11668286	+	0	NA	Intergenic	AmnSINE2|SINE|tRNA-Deu	111011	NM_001143948	84830	Hs.126409	NM_032744	ENSG00000111863	ADTRP	AIG1L|C6orf105|dJ413H6.1	androgen dependent TFPI regulating protein	protein-coding
227	chr3	46163062	46163561	+	0	NA	Intergenic	L1PA12|LINE|L1	45002	NM_001295	1230	Hs.301921	NM_001295	ENSG00000163823	CCR1	CD191|CKR-1|CKR1|CMKBR1|HM145|MIP1aR|SCYAR1	C-C motif chemokine receptor 1	protein-coding
197	chr20	51661519	51662018	+	0	NA	intron (NM_006045, intron 13 of 27)	intron (NM_006045, intron 13 of 27)	-98929	NM_001136021	4773	Hs.744148	NM_012340	ENSG00000101096	NFATC2	NFAT1|NFATP	nuclear factor of activated T cells 2	protein-coding
201	chr10	90912104	90912603	+	0	NA	3' UTR (NM_014391, exon 9 of 9)	3' UTR (NM_014391, exon 9 of 9)	8922	NM_014391	27063	Hs.448589	NM_014391	ENSG00000148677	ANKRD1	ALRP|C-193|CARP|CVARP|MCARP|bA320F15.2	ankyrin repeat domain 1	protein-coding
147	chr5	125006207	125006706	+	0	NA	Intergenic	Intergenic	-30375	NR_109882	101927421	Hs.121305	NR_109882		LOC101927421	-	uncharacterized LOC101927421	ncRNA
180	chr7	107949175	107949674	+	0	NA	intron (NM_002291, intron 24 of 33)	intron (NM_002291, intron 24 of 33)	53737	NM_002291	3912	Hs.650585	NM_002291	ENSG00000091136	LAMB1	CLM|LIS5	laminin subunit beta 1	protein-coding
262	chr6	126197884	126198383	+	0	NA	Intergenic	Intergenic	-141656	NM_001012507	387103	Hs.486401	NM_001012507	ENSG00000203760	CENPW	C6orf173|CENP-W|CUG2	centromere protein W	protein-coding
272	chr20	48538355	48538854	+	0	NA	Intergenic	LTR23|LTR|ERV1	178693	NR_026958	284749	Hs.299080	NR_026958	ENSG00000235621	LINC00494	-	long intergenic non-protein coding RNA 494	ncRNA
181	chr19	16823054	16823553	+	0	NA	Intergenic	MER41A|LTR|ERV1	-6095	NM_001297595	23309	Hs.13999	NM_015260	ENSG00000127511	SIN3B	-	SIN3 transcription regulator family member B	protein-coding
269	chr5	73136153	73136652	+	0	NA	intron (NR_134252, intron 1 of 1)	intron (NR_134252, intron 1 of 1)	14190	NR_134252	105379030		NR_134252	ENSG00000251599	LOC105379030	-	uncharacterized LOC105379030	ncRNA
279	chr15	83733138	83733637	+	0	NA	intron (NM_207517, intron 3 of 29)	intron (NM_207517, intron 3 of 29)	79264	NM_001301110	57188	Hs.459162	NM_207517	ENSG00000156218	ADAMTSL3	ADAMTSL-3	ADAMTS like 3	protein-coding
178	chr2	71831119	71831618	+	0	NA	Intergenic	Intergenic	316494	NM_001277742	56603	Hs.91546	NM_019885	ENSG00000003137	CYP26B1	CYP26A2|P450RAI-2|P450RAI2|RHFCA	cytochrome P450 family 26 subfamily B member 1	protein-coding
168	chr10	3761885	3762384	+	0	NA	Intergenic	Intergenic	23075	NM_001300	1316	Hs.4055	NM_001300	ENSG00000067082	KLF6	BCD1|CBA1|COPEB|CPBP|GBF|PAC1|ST12|ZF9	Kruppel like factor 6	protein-coding
73	chr1	171218491	171218990	+	0	NA	Intergenic	MER61A|LTR|ERV1	-29731	NM_001282694	2326	Hs.1424	NM_002021	ENSG00000010932	FMO1	-	flavin containing dimethylaniline monoxygenase 1	protein-coding
15	chr3	171811406	171811905	+	0	NA	Intergenic	Intergenic	-1172	NM_001130081	5337	Hs.382865	NM_002662	ENSG00000075651	PLD1	CVDD	phospholipase D1	protein-coding
79	chr11	86719724	86720223	+	0	NA	Intergenic	Intergenic	-47337	NR_147829	10873	Hs.199743	NM_006680	ENSG00000151376	ME3	NADP-ME	malic enzyme 3	protein-coding
185	chr18	49590556	49591055	+	0	NA	3' UTR (NM_001308006, exon 9 of 9)	3' UTR (NM_001308006, exon 9 of 9)	28748	NM_001308006	9388	Hs.465102	NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
11	chr2	233974469	233974968	+	0	NA	intron (NM_024080, intron 17 of 25)	intron (NM_024080, intron 17 of 25)	57345	NM_024080	79054	Hs.366053	NM_024080	ENSG00000144481	TRPM8	LTRPC6|LTrpC-6|TRPP8|trp-p8	transient receptor potential cation channel subfamily M member 8	protein-coding
80	chrX	26918571	26919070	+	0	NA	Intergenic	L1PA17|LINE|L1	360483	NR_001559	139538	Hs.447377	NR_001559	ENSG00000259849	VENTXP1	CT18|NA88A|VENTX2P1	VENT homeobox pseudogene 1	pseudo
66	chr3	93969342	93969841	+	0	NA	intron (NM_001314077, intron 1 of 15)	intron (NM_001314077, intron 1 of 15)	4490	NM_001314077	5627	Hs.64016	NM_000313	ENSG00000184500	PROS1	PROS|PS21|PS22|PS23|PS24|PS25|PSA|THPH5|THPH6	protein S	protein-coding
67	chr2	28274862	28275361	+	0	NA	intron (NM_199193, intron 11 of 13)	intron (NM_199193, intron 11 of 13)	35348	NR_038319	100505716	Hs.679092	NR_038319	ENSG00000223522	LOC100505716	-	uncharacterized LOC100505716	ncRNA
74	chr3	99910105	99910604	+	0	NA	intron (NM_001042459, intron 4 of 4)	intron (NM_001042459, intron 4 of 4)	-34151	NM_001282794	11259	Hs.104672	NM_014890	ENSG00000168386	FILIP1L	DOC-1|DOC1|GIP130|GIP90	filamin A interacting protein 1 like	protein-coding
205	chr17	14228806	14229305	+	0	NA	Intergenic	Intergenic	7807	NM_001348781	146822	Hs.447556	NM_001007530	ENSG00000223510	CDRT15	-	CMT1A duplicated region transcript 15	protein-coding
152	chr11	27796384	27796883	+	0	NA	Intergenic	Intergenic	-74603	NM_170731	627	Hs.502182	NM_001709	ENSG00000176697	BDNF	ANON2|BULN2	brain derived neurotrophic factor	protein-coding
204	chr2	33617984	33618483	+	0	NA	Intergenic	HUERS-P1-int|LTR|ERV1	-18871	NM_001304538	25940	Hs.468140	NM_015475	ENSG00000119812	FAM98A	-	family with sequence similarity 98 member A	protein-coding
112	chr7	84548264	84548763	+	0	NA	intron (NR_110079, intron 1 of 2)	intron (NR_110079, intron 1 of 2)	16037	NR_110080	101927378	Hs.539042	NR_110079	ENSG00000235139	LOC101927378	-	uncharacterized LOC101927378	ncRNA
35	chr12	6084570	6085069	+	0	NA	intron (NM_000552, intron 6 of 51)	intron (NM_000552, intron 6 of 51)	39856	NM_000552	7450	Hs.440848	NM_000552	ENSG00000110799	VWF	F8VWF|VWD	von Willebrand factor	protein-coding
52	chr6	3176024	3176523	+	0	NA	Intergenic	LTR16C|LTR|ERVL	-18729	NM_001069	7280	Hs.654543	NM_001069	ENSG00000137267	TUBB2A	CDCBM5|TUBB|TUBB2	tubulin beta 2A class IIa	protein-coding
184	chr3	191774456	191774955	+	0	NA	Intergenic	MER76|LTR|ERVL	313542	NM_001083308	152138	Hs.690618	NM_001083308	ENSG00000253548	PYDC2	POP2|cPOP2	pyrin domain containing 2	protein-coding
31	chr18	49500468	49500967	+	0	NA	Intergenic	Intergenic	-8253	NM_001199342	6139	Hs.293653	NM_000985	ENSG00000265681	RPL17	L17|PD-1|RPL23	ribosomal protein L17	protein-coding
64	chr1	94527373	94527872	+	0	NA	Intergenic	Intergenic	14137	NM_001993	2152	Hs.62192	NM_001993	ENSG00000117525	F3	CD142|TF|TFA	coagulation factor III, tissue factor	protein-coding
249	chr2	207253954	207254453	+	0	NA	non-coding (NR_110283, exon 1 of 4)	non-coding (NR_110283, exon 1 of 4)	113	NR_110283	101927865	Hs.574609	NR_110283		MYOSLID-AS1	-	MYOSLID antisense RNA 1	ncRNA
148	chr8	117811234	117811733	+	0	NA	intron (NM_000127, intron 8 of 10)	L2c|LINE|L2	109430	NR_145799	109623457		NR_145799		SNORD168	-	small nucleolar RNA, C/D box 168	snoRNA
129	chr2	68274022	68274521	+	0	NA	Intergenic	Intergenic	-21739	NM_000945	5534	Hs.280604	NM_000945	ENSG00000221823	PPP3R1	CALNB1|CNB|CNB1	protein phosphatase 3 regulatory subunit B, alpha	protein-coding
198	chr5	125043682	125044181	+	0	NA	intron (NR_109882, intron 2 of 5)	intron (NR_109882, intron 2 of 5)	7100	NR_109882	101927421	Hs.121305	NR_109882		LOC101927421	-	uncharacterized LOC101927421	ncRNA
63	chr18	49656024	49656523	+	0	NA	Intergenic	Intergenic	94216	NM_001308006	9388	Hs.465102	NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
228	chr6	47168175	47168674	+	0	NA	Intergenic	Intergenic	-126092	NM_025048	266977	Hs.733762	NM_025048	ENSG00000153292	ADGRF1	GPR110|KPG_012|PGR19|hGPCR36	adhesion G protein-coupled receptor F1	protein-coding
239	chr22	28759936	28760435	+	0	NA	Intergenic	Intergenic	-12489	NM_001284264	150275	Hs.406460	NM_173510	ENSG00000159873	CCDC117	dJ366L4.1	coiled-coil domain containing 117	protein-coding
69	chr11	86524049	86524548	+	0	NA	intron (NM_001014811, intron 3 of 13)	intron (NM_001014811, intron 3 of 13)	147900	NR_147831	10873	Hs.199743	NM_006680	ENSG00000151376	ME3	NADP-ME	malic enzyme 3	protein-coding
76	chr3	171862953	171863452	+	0	NA	Intergenic	Intergenic	19853	NM_001164436	389177	Hs.642307	NM_001164436	ENSG00000186329	TMEM212	-	transmembrane protein 212	protein-coding
77	chr3	171810352	171810851	+	0	NA	promoter-TSS (NM_001130081)	promoter-TSS (NM_001130081)	-118	NM_001130081	5337	Hs.382865	NM_002662	ENSG00000075651	PLD1	CVDD	phospholipase D1	protein-coding
138	chr10	103517118	103517617	+	0	NA	promoter-TSS (NR_120675)	promoter-TSS (NR_120675)	75	NR_120675	102724341	Hs.599425	NR_120675	ENSG00000235470	NEURL1-AS1	-	NEURL1 antisense RNA 1	ncRNA
257	chr5	175378419	175378918	+	0	NA	Intergenic	X7A_LINE|LINE|CR1	65514	NM_000794	1812	Hs.2624	NM_000794	ENSG00000184845	DRD1	DADR|DRD1A	dopamine receptor D1	protein-coding
106	chr18	8890826	8891325	+	0	NA	Intergenic	MER77B|LTR|ERVL	173694	NM_015210	23255	Hs.707920	NM_015210	ENSG00000168502	MTCL1	CCDC165|KIAA0802|SOGA2	microtubule crosslinking factor 1	protein-coding
217	chr7	102097762	102098261	+	0	NA	intron (NM_001913, intron 5 of 22)	intron (NM_001913, intron 5 of 22)	-187130	NM_020979	10603	Hs.489448	NM_020979	ENSG00000160999	SH2B2	APS	SH2B adaptor protein 2	protein-coding
23	chr7	36962404	36962903	+	0	NA	intron (NM_001206480, intron 16 of 21)	intron (NM_001206480, intron 16 of 21)	22459	NM_001039459	9844	Hs.434989	NM_014800	ENSG00000155849	ELMO1	CED-12|CED12|ELMO-1	engulfment and cell motility 1	protein-coding
99	chr3	99930974	99931473	+	0	NA	intron (NM_001042459, intron 1 of 4)	intron (NM_001042459, intron 1 of 4)	33175	NR_037486	100500859		NR_037486	ENSG00000264897	MIR3921	-	microRNA 3921	ncRNA
12	chr18	57698628	57699127	+	0	NA	intron (NM_005603, intron 6 of 27)	intron (NM_005603, intron 6 of 27)	68546	NM_001242804	100505549	Hs.660645	NM_001242804		LOC100505549	-	uncharacterized LOC100505549	protein-coding
93	chr16	72371158	72371657	+	0	NA	intron (NR_126330, intron 7 of 13)	intron (NR_126330, intron 7 of 13)	-198957	NM_001160213	83449	Hs.714939	NM_031293	ENSG00000118557	PMFBP1	SPGF31|STAP	polyamine modulated factor 1 binding protein 1	protein-coding
29	chr14	35607782	35608281	+	0	NA	intron (NM_014990, intron 34 of 40)	intron (NM_014990, intron 34 of 40)	73867	NM_032594	84684	Hs.62813	NM_032594	ENSG00000168348	INSM2	IA-6|IA6|mlt1	INSM transcriptional repressor 2	protein-coding
24	chr13	34730854	34731353	+	0	NA	Intergenic	MLT1F2|LTR|ERVL-MaLR	-90418	NR_047036	100874179	Hs.569253	NR_047036	ENSG00000225179	LINC00457	-	long intergenic non-protein coding RNA 457	ncRNA
94	chr6	126781278	126781777	+	0	NA	Intergenic	AluSx1|SINE|Alu	296896	NR_030316	693173		NR_030316	ENSG00000207632	MIR588	MIRN588|hsa-mir-588	microRNA 588	ncRNA
232	chr2	177852272	177852771	+	0	NA	intron (NM_001077197, intron 6 of 20)	MamRTE1|LINE|RTE-BovB	36235	NM_001077196	50940	Hs.570273	NM_016953	ENSG00000128655	PDE11A	PPNAD2	phosphodiesterase 11A	protein-coding
183	chr4	128461259	128461758	+	0	NA	intron (NR_125882, intron 1 of 8)	intron (NR_125882, intron 1 of 8)	33492	NR_125882	100507487	Hs.549644	NR_125882	ENSG00000251432	LINC02615	-	long intergenic non-protein coding RNA 2615	ncRNA
122	chr10	90921016	90921515	+	0	NA	promoter-TSS (NM_014391)	promoter-TSS (NM_014391)	10	NM_014391	27063	Hs.448589	NM_014391	ENSG00000148677	ANKRD1	ALRP|C-193|CARP|CVARP|MCARP|bA320F15.2	ankyrin repeat domain 1	protein-coding
242	chr6	151087771	151088270	+	0	NA	intron (NR_146719, intron 27 of 28)	intron (NR_146719, intron 27 of 28)	-14655	NR_162145	113219461		NR_162145		MIR12131	-	microRNA 12131	ncRNA
55	chr18	49694400	49694899	+	0	NA	Intergenic	Intergenic	118884	NM_006111	10449	Hs.200136	NM_006111	ENSG00000167315	ACAA2	DSAEC	acetyl-CoA acyltransferase 2	protein-coding
203	chr4	102404524	102405023	+	0	NA	Intergenic	MLT2D|LTR|ERVL	-59291	NM_001135146	64116	Hs.288034	NM_022154	ENSG00000138821	SLC39A8	BIGM103|CDG2N|LZT-Hs6|PP3105|ZIP8	solute carrier family 39 member 8	protein-coding
51	chr11	86484150	86484649	+	0	NA	intron (NM_001014811, intron 6 of 13)	intron (NM_001014811, intron 6 of 13)	109512	NM_001156474	60494	Hs.144913	NM_021827	ENSG00000149201	CCDC81	-	coiled-coil domain containing 81	protein-coding
167	chr9	79022950	79023449	+	0	NA	Intergenic	Intergenic	122467	NR_109771	101927450	Hs.738041	NR_109771	ENSG00000260995	LOC101927450	-	uncharacterized LOC101927450	ncRNA
177	chr17	76367385	76367884	+	0	NA	Intergenic	LTR22B1|LTR|ERVK	-13436	NM_001366236	5635	Hs.77498	NM_002766	ENSG00000161542	PRPSAP1	PAP39	phosphoribosyl pyrophosphate synthetase associated protein 1	protein-coding
32	chr4	88162605	88163104	+	0	NA	intron (NM_001257386, intron 1 of 15)	intron (NM_001257386, intron 1 of 15)	-3531	NM_001348989	9429	Hs.480218	NM_004827	ENSG00000118777	ABCG2	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding
100	chr9	73179441	73179940	+	0	NA	Intergenic	Intergenic	27825	NM_000700	301	Hs.494173	NM_000700	ENSG00000135046	ANXA1	ANX1|LPC1	annexin A1	protein-coding
4	chr11	86518958	86519457	+	0	NA	intron (NM_001014811, intron 3 of 13)	intron (NM_001014811, intron 3 of 13)	144320	NM_001156474	60494	Hs.144913	NM_021827	ENSG00000149201	CCDC81	-	coiled-coil domain containing 81	protein-coding
237	chr13	110485495	110485994	+	0	NA	exon (NM_001846, exon 34 of 48)	exon (NM_001846, exon 34 of 48)	22435	NR_046583	100874203	Hs.508716	NR_046583	ENSG00000232814	COL4A2-AS1	-	COL4A2 antisense RNA 1	ncRNA
37	chr14	31263513	31264012	+	0	NA	Intergenic	Intergenic	-55969	NM_015382	25831	Hs.708017	NM_015382	ENSG00000092148	HECTD1	EULIR	HECT domain E3 ubiquitin protein ligase 1	protein-coding
36	chr21	36103441	36103940	+	0	NA	intron (NR_040084, intron 1 of 3)	HUERS-P3b-int|LTR|ERV1	-1191	NR_147887	105369306		NR_147887	ENSG00000233393	LOC105369306	-	uncharacterized LOC105369306	ncRNA
101	chr2	153455836	153456335	+	0	NA	Intergenic	LTR1D|LTR|ERV1	22677	NM_019845	56475	Hs.100890	NM_019845	ENSG00000177519	RPRM	REPRIMO	reprimo, TP53 dependent G2 arrest mediator homolog	protein-coding
