Intensity 01	Intensity 02	Intensity 03	Intensity 04	Intensity 05	Intensity 06	Intensity 07	Intensity 08	Intensity 09	Intensity 10	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Taxonomy IDs	C: Taxonomy names	C: Student's T-test Significant WT281_W281P	C: Student's T-test significant	C: Student's T-test Significant WT281_W281X	C: Student's T-test significant_	C: Student's T-test Significant W281P_W281X	C: Student's T-test significant__	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: iBAQ peptides	N: MS/MS count	N: -Log Student's T-test p-value WT281_W281P	N: Student's T-test Difference WT281_W281P	N: Student's T-test Test statistic WT281_W281P	N: -Log Student's T-test p-value WT281_W281X	N: Student's T-test Difference WT281_W281X	N: Student's T-test Test statistic WT281_W281X	N: -Log Student's T-test p-value W281P_W281X	N: Student's T-test Difference W281P_W281X	N: Student's T-test Test statistic W281P_W281X	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
19.3341	22	21.1538	20.9461	19.2612	21.66	19.1901	20.8879	22.1161	22.9063				-1		#ERROR!	WT281_W281P			#ERROR!	W281P_W281X	4	4	4	4.8	4.8	4.8	144.91	0	31.498	26869000	84	19	1.83135	-2.56105	-4.10891	1.1672	-1.47353	-2.48227	1.42566	1.08752	3.06359	P05997	P05997	Collagen alpha-2(V) chain	COL5A2	172
18.1475	17.3703	23.0537	21.898	21.8574	22.7298	20.7448	22.1	19.877	19.7083				-1		#ERROR!	WT281_W281P			#ERROR!	W281P_W281X	6	6	6	10.1	10.1	10.1	81.744	0	36.171	31733000	44	14	1.32779	2.58215	2.83696	0.853129	-0.993094	-1.83605	1.81641	-3.57525	-4.06694	P14923	P14923	Junction plakoglobin	JUP	242
21.7166	19.6305	21.5827	21.7192	19.2787	20.6654	20.8603	21.1541	19.8452	20.5807				-1						#ERROR!	W281P_W281X	4	4	4	6.5	6.5	6.5	89.405	0	25.719	19898000	48	12	0.251717	0.412257	0.634682	0.595109	-0.891391	-1.33084	1.38704	-1.30365	-2.97315	P17480	P17480	Nucleolar transcription factor 1	UBTF	255
23.1164	19.2408	21.9338	22.3503	23.3094	22.0747	20.8694	20.715	20.6097	21.3002				-1						#ERROR!	W281P_W281X	5	5	5	35.2	35.2	35.2	23.277	0	40.7	41698000	14	29	0.530701	1.24767	1.20492	0.224758	-0.488366	-0.575151	1.31676	-1.73604	-2.81195	P48047	P48047	ATP synthase subunit O, mitochondrial	ATP5O	377
23.1296	28.1837	28.9534	28.6721	29.0259	28.8558	29.2608	28.5207	28.4285	28.2234				-1		#ERROR!	WT281_W281P			#ERROR!	W281P_W281X	57	57	56	36.7	36.7	36.2	184.64	0	323.31	3997100000	74	660	1.33069	0.657281	2.84356	0.176782	0.108715	0.465776	2.09319	-0.548566	-4.89571	P51532;P51531	P51532	Transcription activator BRG1	SMARCA4	401
21.0593	17.3221	20.4427	20.1604	19.8059	20.2238	18.3771	19.7535	18.8517	17.3023				-1						#ERROR!	W281P_W281X	1	1	1	8.5	8.5	8.5	19.463	0.0075758	9.1539	6890800	15	4	1.00457	1.48681	2.14121	0.94803	-0.963458	-2.0261	2.03425	-2.45027	-4.70972	P62633	P62633	Cellular nucleic acid-binding protein	CNBP	475
23.8302	20.7719	23.0915	21.6217	22.6352	22.5023	22.9421	22.308	19.2923	19.3501				-1		#ERROR!	WT281_W281P			#ERROR!	W281P_W281X	5	2	2	26.5	19.1	19.1	21.842	0	19.758	55886000	11	24	2.26152	2.82369	5.45834	0.183143	0.223294	0.480561	1.80298	-2.6004	-4.02945	Q02539	Q02539	Histone H1.1	HIST1H1A	557
18.6046	22.8193	17.35	17.7942	25.7502	18.7328	26.0207	25.5962	21.9693	22.8337				-1		#ERROR!	WT281_W281P	#ERROR!	WT281_W281X	#ERROR!	W281P_W281X	13	13	13	50.1	50.1	50.1	44.141	0	234.66	194890000	22	62	3.32069	3.24831	10.4272	4.28755	7.83004	18.3778	3.11123	4.58173	9.20426	Q12824	Q12824	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	SMARCB1	589
25.6221	24.4778	24.4328	24.3567	23.9737	24.3185	24.2513	24.0763	24.5433	24.6246				-1		#ERROR!	WT281_W281P	#ERROR!	WT281_W281X	#ERROR!	W281P_W281X	10	10	10	43	43	43	25.542	0	83.832	244510000	16	93	2.09375	-0.448146	-4.89751	1.42621	-0.268892	-3.06488	1.52839	0.179254	3.31118	Q13242	Q13242	Serine/arginine-rich splicing factor 9	SRSF9	599
17.9697	20.5881	21.334	21.6934	23.5347	21.4086	23.9191	22.9693	19.8807	18.497				-1		#ERROR!	WT281_W281P	#ERROR!	WT281_W281X	#ERROR!	W281P_W281X	12	8	7	28.4	18.8	16.4	55.015	0	66.295	47956000	29	31	2.32214	3.81911	5.67312	2.59398	1.99571	6.72463	1.36544	-1.8234	-2.92314	Q6STE5	Q6STE5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3	SMARCD3	725
19.4683	25.7557	26.1366	26.0478	26.7383	26.0059	27.1161	26.4221	25.5957	25.7638				-1		#ERROR!	WT281_W281P	#ERROR!	WT281_W281X	#ERROR!	W281P_W281X	38	28	28	40.9	34.4	34.4	132.88	0	323.31	722200000	54	246	2.14608	1.05376	5.06734	1.56583	0.69542	3.40409	2.23169	-0.358342	-5.35509	Q8TAQ2	Q8TAQ2	SWI/SNF complex subunit SMARCC2	SMARCC2	789
18.342	26.4164	26.9048	27.091	28.2379	27.0813	28.4733	27.8356	26.5664	26.6425				-1		#ERROR!	WT281_W281P	#ERROR!	WT281_W281X	#ERROR!	W281P_W281X	39	39	29	48.4	48.4	41.4	122.87	0	323.31	1633400000	56	372	2.93888	1.64054	8.2991	2.38632	1.15657	5.90799	2.2405	-0.483971	-5.38542	Q92922	Q92922	SWI/SNF complex subunit SMARCC1	SMARCC1	820
19.4796	22.0617	23.4135	22.9554	24.4134	23.3958	24.8545	24.2468	21.9043	22.0054				-1		#ERROR!	WT281_W281P	#ERROR!	WT281_W281X	#ERROR!	W281P_W281X	11	9	9	30.7	25.2	25.2	58.92	0	109.99	115440000	29	50	3.75171	2.51446	13.4432	2.21984	1.25004	5.31453	2.89159	-1.26443	-8.06534	Q92925	Q92925	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	SMARCD2	821
18.5252	25.0347	25.3887	25.4081	26.5699	25.1895	26.9953	26.3517	24.9736	25.0966				-1		#ERROR!	WT281_W281P	#ERROR!	WT281_W281X	#ERROR!	W281P_W281X	13	13	13	42.1	42.1	42.1	46.649	0	282.63	548950000	22	116	2.94749	1.60401	8.34232	2.53991	1.31021	6.50325	1.69991	-0.293807	-3.74945	Q969G3	Q969G3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	SMARCE1	827
17.7561	25.6621	25.7669	26.1964	26.5985	26.0634	26.964	26.2234	25.4915	25.6396				-1		#ERROR!	WT281_W281P			#ERROR!	W281P_W281X	23	23	19	58.4	58.4	49.5	58.232	0	323.31	667530000	29	238	1.97434	0.997564	4.52614	1.10891	0.586367	2.35815	1.39201	-0.411196	-2.98471	Q96GM5	Q96GM5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	SMARCD1	840
22.0705	17.589	19.429	19.5813	19.2656	19.5092	20.9383	16.5736	19.1204	17.8366				-1						#ERROR!	W281P_W281X	4	4	4	16	16	16	35.818	0	27.708	9477500	20	4	0.212713	0.743844	0.548131	0.172802	-0.580692	-0.456476	1.30213	-1.32454	-2.77893	Q96QD9	Q96QD9	UAP56-interacting factor	FYTTD1	856
26.1029	22.8813	23.7989	23.9565	22.6115	23.4212	23.1478	22.1981	23.3269	22.9462				-1				#ERROR!	WT281_W281X	#ERROR!	W281P_W281X	22	22	22	30	30	30	113.67	0	175.74	161020000	60	71	0.576922	-0.399008	-1.29536	1.5562	-1.07306	-3.38004	1.48033	-0.674053	-3.19405	Q9HCE1	Q9HCE1	Putative helicase MOV-10	MOV10	931
18.8848	22.8791	23.7369	23.1755	23.0048	23.7967	23.7442	22.8564	22.851	22.8033				-1						#ERROR!	W281P_W281X	10	10	10	24.7	24.7	24.7	74.138	0	70.511	90687000	36	49	0.577838	0.357304	1.29715	0.470966	-0.367919	-1.08716	1.65936	-0.725224	-3.64284	Q9NPI1	Q9NPI1	Bromodomain-containing protein 7	BRD7	936
23.0279	18.8599	20.6761	20.9401	21.4513	21.4301	21.075	17.6261	20.0576	17.8772				-1						#ERROR!	W281P_W281X	3	3	3	22.1	22.1	22.1	22.826	0	31.957	21233000	12	9	0.337192	1.11924	0.816493	0.319561	-0.964579	-0.779719	1.44917	-2.08382	-3.11933	Q9NRW3;Q8IUX4;Q96AK3	Q9NRW3	DNA dC->dU-editing enzyme APOBEC-3C	APOBEC3C	942
21.7364	18.5932	21.2346	20.0201	21.4568	21.0645	23.0836	19.2871	19.751	19.5807		#ERROR!		-1						#ERROR!	W281P_W281X	2	2	2	0	0	0	838.3	0.0039526	11.511	23687000	0	4	0.784213	1.96755	1.69999	0.162471	0.502758	0.432155	1.30979	-1.46479	-2.7962	REV__Q9UPN3	REV__Q9UPN3			1061
19.4471	16.4408	17.066	17.9935	19.8139	18.7681	16.6296	19.5408	19.4699	18.3969				-1								2	2	2	1.4	1.4	1.4	226.37	0.006435	11.04	2280500	122	2	0.154741	0.558923	0.41378	0.252013	0.718891	0.63533	0.0543832	0.159968	0.157744	A6NHR9	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	3
18.3829	14.4812	19.4214	21.5004	21.617	19.9984	19.0761	19.4175	20.4739	20.0502				-1								4	4	4	5.4	5.4	5.4	105.34	0	25.083	11728000	44	14	0.336381	1.70175	0.814808	0.0956536	-0.269871	-0.26749	0.413458	-1.97163	-0.972297	Q99613;B5ME19	Q99613;B5ME19	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	5
18.282	23.3521	23.5364	23.6457	23.0657	23.7569	24.3318	23.7575	22.8177	23.3746			#ERROR!	-1								3	3	3	40.7	40.7	40.7	11.756	0	33.78	112520000	5	35	0.58616	0.536853	1.31339	0.0676239	0.0719802	0.193757	1.13381	-0.464872	-2.41089	CON__ENSEMBL:ENSBTAP00000014147	CON__ENSEMBL:ENSBTAP00000014147			6
18.7653	25.9055	26.8498	26.9391	26.6784	26.687	27.1042	26.7735	26.4192	26.5637			#ERROR!	-1								8	8	8	30.2	30.2	30.2	43.9	0	229.97	975840000	17	123	1.09938	0.555935	2.33806	0.0624997	0.0267436	0.179916	1.16864	-0.529191	-2.48536	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462			7
19.105	16.6241	19.0342	20.1578	19.4146	16.7552	18.1615	17.9598	20.7397	18.1286			#ERROR!	-1								8	2	0	15.5	5.5	0	45.771	0	12.13	3484700	30	3	0.00367457	0.0144418	0.011234	0.0425138	-0.137155	-0.12474	0.0327026	-0.151597	-0.0969027	CON__ENSEMBL:ENSP00000377550;P13646	CON__ENSEMBL:ENSP00000377550;P13646	Keratin, type I cytoskeletal 13	KRT13	9
27.8083	27.9668	28.0812	28.0674	27.9106	28.9789	28.8215	27.8184	27.4982	28.9882			#ERROR!	-1								2	2	2	7.8	7.8	7.8	24.409	0	13.273	3277100000	12	60	0.01982	0.0323842	0.0595259	0.164672	-0.192342	-0.437359	0.157928	-0.224726	-0.421373	CON__P00761	CON__P00761			11
21.205	20.6674	24.6429	23.8063	24.1742	25.2155	24.6437	24.5833	24.6538	23.7773			#ERROR!	-1								19	8	6	45.8	24.8	20.3	51.621	0	170.53	194960000	35	63	0.516553	1.43427	1.17714	0.0706814	-0.087841	-0.20196	0.52417	-1.52211	-1.1921	CON__P02533;P02533;CON__Q6IFX2;CON__A2A4G1;P19012;CON__P19012;CON__Q61782;CON__P35900;P35900;CON__Q9D312;CON__A2AB72;CON__O76015;CON__O76013;CON__Q7Z3Y9;CON__O76014;CON__REFSEQ:XP_986630;CON__Q99456;CON__A2A5Y0;CON__Q14525;CON__Q8N1A0;CON__Q14532;CON__Q15323;CON__Q9UE12;Q14532;Q14525;Q7Z3Y9;Q15323;O76013;O76014;O76015;Q8N1A0;Q99456	CON__P02533;P02533	Keratin, type I cytoskeletal 14	KRT14	12
19.8581	16.1147	18.8333	20.6471	19.6924	18.7148	21.5879	19.18	21.1924	18.631			#ERROR!	-1								2	2	2	11.1	11.1	11.1	22.975	0	11.891	9529200	11	2	0.387582	1.50742	0.919955	0.321642	0.755038	0.784076	0.179507	-0.752383	-0.472122	CON__P02662	CON__P02662			13
17.7122	20.0898	19.6582	21.7608	21.1345	21.2503	21.4201	21.7047	19.7811	19.7242			#ERROR!	-1		#ERROR!	WT281_W281P					3	3	3	5.8	5.8	5.8	69.293	0	19.718	18284000	47	17	2.83091	1.55473	7.77416	0.334127	0.529992	0.810123	0.729612	-1.02474	-1.59302	CON__P02769	CON__P02769			14
