PeakID (cmd=annotatePeaks.pl gain_I315RvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
204	chr13	26978433	26978932	+	0	NA	Intergenic	Intergenic	-146851	NR_046547	100874070	Hs.524923	NR_046547		USP12-AS1	-	USP12 antisense RNA 1	ncRNA
248	chr4	128322933	128323432	+	0	NA	Intergenic	Intergenic	-35369	NM_006320	10424	Hs.507910	NM_006320	ENSG00000164040	PGRMC2	DG6|PMBP	progesterone receptor membrane component 2	protein-coding
51	chr14	31263502	31264001	+	0	NA	Intergenic	Intergenic	-55958	NM_015382	25831	Hs.708017	NM_015382	ENSG00000092148	HECTD1	EULIR	HECT domain E3 ubiquitin protein ligase 1	protein-coding
75	chr11	106399101	106399600	+	0	NA	Intergenic	Intergenic	147943	NR_120551	101928535	Hs.409078	NR_120551	ENSG00000254811	LOC101928535	-	uncharacterized LOC101928535	ncRNA
17	chr10	75294774	75295273	+	0	NA	intron (NR_120651, intron 1 of 3)	CpG	-1360	NR_038224	253264	Hs.662111	NR_038223	ENSG00000226051	ZNF503-AS1	-	ZNF503 antisense RNA 1	ncRNA
131	chr2	119492117	119492616	+	0	NA	intron (NM_002980, intron 2 of 12)	intron (NM_002980, intron 2 of 12)	15912	NR_147846	107105282	Hs.670673	NR_147846	ENSG00000231013	LOC107105282	-	uncharacterized LOC107105282	ncRNA
30	chr18	57698761	57699260	+	0	NA	intron (NM_005603, intron 6 of 27)	intron (NM_005603, intron 6 of 27)	68679	NM_001242804	100505549	Hs.660645	NM_001242804		LOC100505549	-	uncharacterized LOC100505549	protein-coding
222	chr15	98896709	98897208	+	0	NA	intron (NM_000875, intron 4 of 20)	intron (NM_000875, intron 4 of 20)	108698	NM_001102612	145814	Hs.592021	NM_001102612	ENSG00000183571	PGPEP1L	-	pyroglutamyl-peptidase I like	protein-coding
233	chr17	56699440	56699939	+	0	NA	Intergenic	Intergenic	105990	NM_005450	9241	Hs.248201	NM_005450	ENSG00000183691	NOG	SYM1|SYNS1|SYNS1A	noggin	protein-coding
44	chr7	1520577	1521076	+	0	NA	Intergenic	MLT1G3|LTR|ERVL-MaLR	-9876	NM_002360	7975	Hs.520612	NM_002360	ENSG00000198517	MAFK	NFE2U|P18	MAF bZIP transcription factor K	protein-coding
199	chr4	89674909	89675408	+	0	NA	Intergenic	LTR22|LTR|ERVK	-161243	NR_045481	644248	Hs.553954	NR_045481	ENSG00000247775	SNCA-AS1	-	SNCA antisense RNA 1	ncRNA
151	chr16	86772670	86773169	+	0	NA	Intergenic	Intergenic	50828	NR_135182	102724344	Hs.585769	NR_135182	ENSG00000261175	LINC02188	-	long intergenic non-protein coding RNA 2188	ncRNA
253	chr13	51643094	51643593	+	0	NA	intron (NM_052950, intron 1 of 11)	intron (NM_052950, intron 1 of 11)	58881	NM_052950	115825	Hs.46506	NM_052950	ENSG00000139668	WDFY2	PROF|WDF2|ZFYVE22	WD repeat and FYVE domain containing 2	protein-coding
81	chr13	26983146	26983645	+	0	NA	Intergenic	Intergenic	-142138	NR_046547	100874070	Hs.524923	NR_046547		USP12-AS1	-	USP12 antisense RNA 1	ncRNA
270	chr7	131173456	131173955	+	0	NA	intron (NM_001145354, intron 2 of 18)	AluSx|SINE|Alu	63611	NM_001145354	4289	Hs.44693	NM_013255	ENSG00000128585	MKLN1	TWA2	muskelin 1	protein-coding
94	chr6	110509638	110510137	+	0	NA	Intergenic	MER41B|LTR|ERV1	-33274	NM_033125	85413	Hs.520319	NM_033125	ENSG00000004809	SLC22A16	CT2|FLIPT2|HEL-S-18|OAT6|OCT6|OKB1|dJ261K5.1	solute carrier family 22 member 16	protein-coding
146	chr20	57168193	57168692	+	0	NA	TTS (NM_001719)	TTS (NM_001719)	-45254	NR_110631	102723590	Hs.667674	NR_110631		BMP7-AS1	-	BMP7 antisense RNA 1	ncRNA
73	chr1	99465415	99465914	+	0	NA	Intergenic	MLT1C|LTR|ERVL-MaLR	22140	NR_125951	101928270	Hs.576048	NR_125951	ENSG00000224445	LINC01708	-	long intergenic non-protein coding RNA 1708	ncRNA
138	chr1	9623580	9624079	+	0	NA	Intergenic	Intergenic	-27902	NM_005026	5293	Hs.518451	NM_005026	ENSG00000171608	PIK3CD	APDS|IMD14|P110DELTA|PI3K|p110D	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	protein-coding
260	chr14	69519124	69519623	+	0	NA	intron (NM_001161498, intron 6 of 12)	L3|LINE|CR1	34645	NM_001161498	400224	Hs.509796	NM_001161498	ENSG00000175985	PLEKHD1	UPF0639	pleckstrin homology and coiled-coil domain containing D1	protein-coding
18	chr17	66952026	66952525	+	0	NA	Intergenic	Intergenic	-12432	NM_014405	27092	Hs.514423	NM_014405	ENSG00000075461	CACNG4	-	calcium voltage-gated channel auxiliary subunit gamma 4	protein-coding
