PeakID (cmd=annotatePeaks.pl gain_WTvW281X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
13879	chr12	29238982	29239481	+	0	NA	intron (NM_001271784, intron 1 of 10)	MLT1E1A|LTR|ERVL-MaLR	15565	NM_001271784	55711	Hs.684482	NM_018099	ENSG00000064763	FAR2	HEL-S-81|MLSTD1|SDR10E2	fatty acyl-CoA reductase 2	protein-coding
9606	chr3	54905196	54905695	+	0	NA	intron (NM_018398, intron 27 of 37)	intron (NM_018398, intron 27 of 37)	-4190	NR_046666	100874237	Hs.570583	NR_046666	ENSG00000243715	CACNA2D3-AS1	-	CACNA2D3 antisense RNA 1	ncRNA
32911	chr8	94015049	94015548	+	0	NA	Intergenic	MIR3|SINE|MIR	98351	NM_001161779	54704	Hs.22265	NM_018444	ENSG00000164951	PDP1	PDH|PDP|PDPC|PPM2A|PPM2C	pyruvate dehyrogenase phosphatase catalytic subunit 1	protein-coding
9904	chr2	205720261	205720760	+	0	NA	intron (NM_018534, intron 3 of 15)	intron (NM_018534, intron 3 of 15)	38009	NM_018534	8828	Hs.471200	NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
10767	chr7	133746801	133747300	+	0	NA	intron (NM_021807, intron 10 of 17)	intron (NM_021807, intron 10 of 17)	77838	NR_120513	101928861	Hs.675747	NR_120513		LOC101928861	-	uncharacterized LOC101928861	ncRNA
18753	chr20	16922779	16923278	+	0	NA	Intergenic	Intergenic	174675	NM_020157	56914	Hs.41119	NM_020157	ENSG00000125879	OTOR	FDP|MIAL1	otoraplin	protein-coding
27665	chr11	12042234	12042733	+	0	NA	intron (NR_135109, intron 1 of 1)	intron (NR_135109, intron 1 of 1)	11608	NR_135109	105376554	Hs.523483	NR_135109	ENSG00000254486	LINC02547	-	long intergenic non-protein coding RNA 2547	ncRNA
2088	chr3	141081893	141082392	+	0	NA	intron (NM_080862, intron 2 of 2)	intron (NM_080862, intron 2 of 2)	30795	NM_080862	92369	Hs.655112	NM_080862	ENSG00000175093	SPSB4	SSB-4|SSB4	splA/ryanodine receptor domain and SOCS box containing 4	protein-coding
6601	chr3	98196293	98196792	+	0	NA	Intergenic	LTR7|LTR|ERV1	27842	NM_001005515	403274	Hs.554713	NM_001005515	ENSG00000233412	OR5H15	-	olfactory receptor family 5 subfamily H member 15	protein-coding
34716	chr2	213233095	213233594	+	0	NA	Intergenic	Intergenic	50865	NR_161186	100130451	Hs.608433	NR_144752		SPAG16-DT	-	SPAG16 divergent transcript	ncRNA
5823	chr3	132606141	132606640	+	0	NA	intron (NR_132428, intron 9 of 17)	intron (NR_132428, intron 9 of 17)	6253	NM_178445	51554	Hs.310512	NM_016557	ENSG00000129048	ACKR4	CC-CKR-11|CCBP2|CCR-11|CCR10|CCR11|CCRL1|CCX CKR|CCX-CKR|CKR-11|PPR1|VSHK1	atypical chemokine receptor 4	protein-coding
21074	chr2	195706435	195706934	+	0	NA	exon (NM_001127257, exon 4 of 10)	exon (NM_001127257, exon 4 of 10)	49458	NM_020342	57181	Hs.650158	NM_020342	ENSG00000196950	SLC39A10	LZT-Hs2	solute carrier family 39 member 10	protein-coding
13705	chr9	38195499	38195998	+	0	NA	Intergenic	MER50|LTR|ERV1	-126521	NM_003028	6461	Hs.521482	NM_003028	ENSG00000107338	SHB	bA3J10.2	SH2 domain containing adaptor protein B	protein-coding
32145	chr1	197486935	197487434	+	0	NA	Intergenic	L1PBa|LINE|L1	218932	NR_047564	23418	Hs.126135	NM_012076	ENSG00000134376	CRB1	LCA8|RP12	crumbs cell polarity complex component 1	protein-coding
29541	chr6	121480534	121481033	+	0	NA	Intergenic	L2|LINE|L2	45137	NM_000165	2697	Hs.74471	NM_000165	ENSG00000152661	GJA1	AVSD3|CMDR|CX43|EKVP|EKVP3|GJAL|HLHS1|HSS|ODDD|PPKCA	gap junction protein alpha 1	protein-coding
30830	chr6	36780797	36781296	+	0	NA	intron (NM_020939, intron 8 of 20)	intron (NM_020939, intron 8 of 20)	-23637	NM_001314018	57699	Hs.372129	NM_020939	ENSG00000124772	CPNE5	COPN5|CPN5	copine 5	protein-coding
