PeakID (cmd=annotatePeaks.pl loss_I315IvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
69	chr16	81442513	81443012	+	0	NA	Intergenic	Intergenic	-2408	NM_198390	80790	Hs.594095	NM_030629	ENSG00000153815	CMIP	TCMIP	c-Maf inducing protein	protein-coding
541	chr8	506300	506799	+	0	NA	intron (NM_001256113, intron 1 of 3)	L1M4b|LINE|L1	9203	NM_001369716	157695	Hs.289293	NM_175075	ENSG00000180190	TDRP	C8orf42|Inm01|TDRP1|TDRP2	testis development related protein	protein-coding
857	chr13	63001658	63002157	+	0	NA	Intergenic	L1PB1|LINE|L1	-194548	NR_120403	100874176	Hs.402083	NR_047029		LINC00448	-	long intergenic non-protein coding RNA 448	ncRNA
523	chr9	121050428	121050927	+	0	NA	promoter-TSS (NM_001317164)	promoter-TSS (NM_001317164)	-401	NM_001735	727	Hs.494997	NM_001735	ENSG00000106804	C5	C5D|C5a|C5b|CPAMD4|ECLZB	complement C5	protein-coding
597	chr12	62820343	62820842	+	0	NA	intron (NM_020700, intron 2 of 9)	L1PA6|LINE|L1	114558	NM_020700	57460	Hs.435479	NM_020700	ENSG00000111110	PPM1H	ARHCL1|NERPP-2C|URCC2	protein phosphatase, Mg2+/Mn2+ dependent 1H	protein-coding
985	chr5	75376248	75376747	+	0	NA	intron (NM_031361, intron 16 of 16)	intron (NM_031361, intron 16 of 16)	39277	NM_000859	3156	Hs.628096	NM_000859	ENSG00000113161	HMGCR	LDLCQ3	3-hydroxy-3-methylglutaryl-CoA reductase	protein-coding
1011	chr16	11816026	11816525	+	0	NA	Intergenic	AluJb|SINE|Alu	12557	NR_024049	400500	Hs.24611	NR_024049	ENSG00000262117	BCAR4	-	breast cancer anti-estrogen resistance 4	ncRNA
1032	chr1	55194385	55194884	+	0	NA	intron (NM_015306, intron 1 of 67)	intron (NM_015306, intron 1 of 67)	20730	NM_015306	23358	Hs.477009	NM_015306	ENSG00000162402	USP24	-	ubiquitin specific peptidase 24	protein-coding
883	chr11	83219989	83220488	+	0	NA	intron (NM_001300975, intron 5 of 10)	HERV30-int|LTR|ERV1	26526	NM_001300972	338699	Hs.503438	NM_182603	ENSG00000137494	ANKRD42	PPP1R79|SARP	ankyrin repeat domain 42	protein-coding
413	chr2	231593399	231593898	+	0	NA	exon (NM_152614, exon 1 of 1)	exon (NM_152614, exon 1 of 1)	784	NM_152614	165100	Hs.98104	NM_152614	ENSG00000177673	TEX44	C2orf57	testis expressed 44	protein-coding
168	chr14	99596033	99596532	+	0	NA	intron (NM_001144995, intron 1 of 5)	intron (NM_001144995, intron 1 of 5)	7925	NM_001144995	317762	Hs.709288	NM_001144995	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
75	chr12	95593507	95594006	+	0	NA	Intergenic	LTR16A|LTR|ERVL	-42280	NM_032147	84101	Hs.646421	NM_032147	ENSG00000136014	USP44	-	ubiquitin specific peptidase 44	protein-coding
1176	chr4	39060271	39060770	+	0	NA	intron (NM_001171654, intron 1 of 10)	intron (NM_001171654, intron 1 of 10)	-1712	NM_199039	51088	Hs.272251	NM_015990	ENSG00000109790	KLHL5	-	kelch like family member 5	protein-coding
982	chr13	112582585	112583084	+	0	NA	intron (NM_006322, intron 1 of 21)	intron (NM_006322, intron 1 of 21)	5319	NM_001286278	10426	Hs.224152	NM_006322	ENSG00000126216	TUBGCP3	104p|ALP6|GCP3|Grip104|SPBC98|Spc98|Spc98p	tubulin gamma complex associated protein 3	protein-coding
184	chr11	110300523	110301022	+	0	NA	Intergenic	LTR12C|LTR|ERV1	-4060	NM_001260494	5962	Hs.263671	NM_002906	ENSG00000137710	RDX	DFNB24	radixin	protein-coding
473	chr1	226134222	226134721	+	0	NA	Intergenic	Intergenic	-13532	NR_146443	107985353	Hs.735455	NR_146443	ENSG00000234478	ACBD3-AS1	-	ACBD3 antisense RNA 1	ncRNA
700	chr3	194147486	194147985	+	0	NA	Intergenic	Intergenic	11587	NM_005524	3280	Hs.250666	NM_005524	ENSG00000114315	HES1	HES-1|HHL|HRY|bHLHb39	hes family bHLH transcription factor 1	protein-coding
171	chr1	212463032	212463531	+	0	NA	Intergenic	Intergenic	30361	NM_013349	29937	Hs.461787	NM_013349	ENSG00000117691	NENF	CIR2|SCIRP10|SPUF	neudesin neurotrophic factor	protein-coding
332	chr16	399175	399674	+	0	NA	exon (NM_001286436, exon 3 of 5)	exon (NM_001286436, exon 3 of 5)	1682	NM_001286440	4833	Hs.9235	NM_005009	ENSG00000103202	NME4	NDPK-D|NM23H4|nm23-H4	NME/NM23 nucleoside diphosphate kinase 4	protein-coding
1153	chr14	103378107	103378606	+	0	NA	Intergenic	Intergenic	-7008	NM_002376	4140	Hs.35828	NM_002376	ENSG00000075413	MARK3	CTAK1|KP78|PAR1A|Par-1a|VIPB	microtubule affinity regulating kinase 3	protein-coding
663	chr11	103266430	103266929	+	0	NA	intron (NM_001377, intron 70 of 88)	L1PA13|LINE|L1	157253	NM_001377	79659	Hs.503721	NM_001377	ENSG00000187240	DYNC2H1	ATD3|DHC1b|DHC2|DNCH2|DYH1B|SRPS2B|SRTD3|hdhc11	dynein cytoplasmic 2 heavy chain 1	protein-coding
111	chr9	37928892	37929391	+	0	NA	intron (NM_003028, intron 5 of 5)	intron (NM_003028, intron 5 of 5)	-24788	NR_024872	92014	Hs.634120	NM_033412	ENSG00000122696	SLC25A51	CG7943|MCART1	solute carrier family 25 member 51	protein-coding
994	chr7	82979989	82980488	+	0	NA	intron (NM_033026, intron 3 of 24)	intron (NM_033026, intron 3 of 24)	182646	NM_033026	27445	Hs.12376	NM_014510	ENSG00000186472	PCLO	ACZ|PCH3	piccolo presynaptic cytomatrix protein	protein-coding
329	chr1	171652445	171652944	+	0	NA	promoter-TSS (NM_000261)	promoter-TSS (NM_000261)	-6	NM_000261	4653	Hs.436037	NM_000261	ENSG00000034971	MYOC	GLC1A|GPOA|JOAG|JOAG1|TIGR	myocilin	protein-coding
192	chr4	90240242	90240741	+	0	NA	intron (NM_207491, intron 1 of 7)	LTR41B|LTR|ERVL	5460	NM_207491	401145	Hs.654735	NM_207491	ENSG00000184305	CCSER1	FAM190A	coiled-coil serine rich protein 1	protein-coding
7	chr7	4801166	4801665	+	0	NA	intron (NM_018059, intron 12 of 14)	intron (NM_018059, intron 12 of 14)	-12776	NR_039800	100616465		NR_039800	ENSG00000264474	MIR4656	-	microRNA 4656	ncRNA
237	chr8	144804053	144804552	+	0	NA	intron (NR_134285, intron 3 of 3)	intron (NR_134285, intron 3 of 3)	5426	NM_001317936	340385	Hs.521942	NM_213605	ENSG00000197363	ZNF517	-	zinc finger protein 517	protein-coding
1245	chr6	70208267	70208766	+	0	NA	3' UTR (NM_001858, exon 51 of 51)	3' UTR (NM_001858, exon 51 of 51)	74681	NM_078485	1297	Hs.590892	NM_001851	ENSG00000112280	COL9A1	DJ149L1.1.2|EDM6|MED|STL4	collagen type IX alpha 1 chain	protein-coding
607	chr13	63177911	63178410	+	0	NA	Intergenic	THE1B-int|LTR|ERVL-MaLR	149934	NR_126409	104355293	Hs.121439	NR_126409	ENSG00000227564	LINC00376	-	long intergenic non-protein coding RNA 376	ncRNA
335	chr12	50351073	50351572	+	0	NA	exon (NM_001145475, exon 4 of 8)	exon (NM_001145475, exon 4 of 8)	45287	NM_001145475	121006	Hs.133187	NM_001145475	ENSG00000185958	FAM186A	-	family with sequence similarity 186 member A	protein-coding
1208	chr19	5588932	5589431	+	0	NA	intron (NM_014649, intron 18 of 20)	intron (NM_014649, intron 18 of 20)	-21147	NR_027064	257000	Hs.515575	NM_153375	ENSG00000223573	TINCR	LINC00036|NCRNA00036|PLAC2|onco-lncRNA-16	TINCR ubiquitin domain containing	ncRNA
50	chr14	55195109	55195608	+	0	NA	Intergenic	L1M1|LINE|L1	-3773	NM_001146015	9787	Hs.77695	NM_014750	ENSG00000126787	DLGAP5	DLG7|HURP	DLG associated protein 5	protein-coding
1123	chr19	8655730	8656229	+	0	NA	Intergenic	Intergenic	42816	NM_178525	284382	Hs.209206	NM_178525	ENSG00000181786	ACTL9	HSD21	actin like 9	protein-coding
890	chr10	3907477	3907976	+	0	NA	Intergenic	MLT1F2|LTR|ERVL-MaLR	73776	NR_134490	105376365	Hs.460114	NR_134490	ENSG00000230573	LINC02639	-	long intergenic non-protein coding RNA 2639	ncRNA
226	chr5	103593867	103594366	+	0	NA	Intergenic	Intergenic	-31327	NM_031438	83594	Hs.434289	NM_031438	ENSG00000112874	NUDT12	-	nudix hydrolase 12	protein-coding
550	chr9	134125691	134126190	+	0	NA	Intergenic	Intergenic	-10142	NM_017588	11091	Hs.397638	NM_017588	ENSG00000196363	WDR5	BIG-3|CFAP89|SWD3	WD repeat domain 5	protein-coding
