"","seqnames","start","end","width","strand","Conc","Conc_WT","Conc_MUTANT","Fold","p.value","FDR"
"76794","chr3",36524498,36525492,995,"*",6.54148002806017,7.45977576849926,3.35860942252891,4.10116634597035,7.68806876487073e-23,9.75246898961382e-18
"96732","chr5",154141647,154142147,501,"*",6.53199642343285,7.46602776916596,3.04829589296735,4.41773187619861,1.94985848323589e-22,1.23671724157719e-17
"56211","chr19",40921073,40921573,501,"*",6.52387642640184,7.46608319529643,2.85335424188319,4.61272895341324,4.323990465309e-22,1.82835612835126e-17
"101502","chr6",71248383,71248883,501,"*",6.75551159248057,7.61316552420875,4.3436318892735,3.26953363493525,9.14226012090185e-22,2.8992849521416e-17
"45704","chr16",77298532,77299032,501,"*",6.45312090994449,7.37250774754758,3.25139486374249,4.1211128838051,1.60418676511665e-21,4.06988599057155e-17
"81265","chr3",141084095,141084595,501,"*",6.50842226966916,7.39274138768888,3.81042428629117,3.58231710139772,5.72671467051263e-21,1.21074201563978e-16
"122328","chr9",114908020,114908520,501,"*",6.4144684922007,7.32309958116058,3.38810593455224,3.93499364660834,8.62040712713539e-21,1.56216554984483e-16
"107025","chr7",22786178,22786678,501,"*",6.51446146034435,7.38581783101637,3.96330311923727,3.4225147117791,1.27165065235378e-20,2.01639285690476e-16
"11782","chr1",233112907,233113407,501,"*",6.46675124848068,7.36513616875059,3.58866195886683,3.77647420988377,1.91061251913268e-20,2.69294465863354e-16
"101520","chr6",71404673,71405173,501,"*",6.72376688950988,7.56458515307102,4.46488811236778,3.09969704070324,2.72986485297121e-20,3.46288816329103e-16
"60342","chr2",53505788,53506288,501,"*",6.55153874995483,7.4131488202935,4.10094136473525,3.31220745555826,1.62618909512571e-19,1.87532126449897e-15
"99151","chr6",15065465,15065965,501,"*",6.32486034841237,7.27893918718937,2.32849723210632,4.95044195508305,2.32626892419816e-19,2.45909887976988e-15
"44776","chr16",56245957,56246457,501,"*",6.29045426675428,7.18647092396298,3.44443283221459,3.74203809174838,5.03608729339177e-19,4.91413650262564e-15
"97884","chr5",175378366,175378866,501,"*",6.30830039868671,7.2188390802874,3.25244233414574,3.96639674614166,6.8744450572529e-19,6.22883646001889e-15
"95555","chr5",135743755,135744255,501,"*",6.3424085717495,7.21909488351015,3.73282935993009,3.48626552358006,7.50041832049441e-19,6.34295376527571e-15
"37674","chr14",79514619,79515119,501,"*",6.30358409411967,7.19028571345811,3.57673839154374,3.61354732191437,8.03545990920876e-19,6.37071350251844e-15
"69230","chr20",11791751,11792251,501,"*",6.36273479536424,7.23223326544131,3.83134811367551,3.40088515176581,9.23933086102103e-19,6.89427999048376e-15
"91553","chr5",38783004,38783504,501,"*",6.23360304129595,7.14355917478905,3.1868207108156,3.95673846397345,1.1613353562179e-18,7.97296243335321e-15
"80367","chr3",125003283,125003783,501,"*",6.30306247569629,7.19487842925272,3.51210175266547,3.68277667658725,1.19419706613779e-18,7.97296243335321e-15
"7252","chr1",151988406,151988906,501,"*",6.27089586565693,7.16544008695404,3.44443283221459,3.72100725473945,1.52684400104894e-18,9.68416076105298e-15
"106728","chr7",17679967,17680467,501,"*",6.8770392081465,7.65079323285339,5.09259192352318,2.5582013093302,1.69795938911691e-18,1.02566449727742e-14
"80375","chr3",125062903,125063403,501,"*",6.32830835464668,7.19860436755049,3.78847056009387,3.41013380745662,2.06153257571646e-18,1.10040104272058e-14
"23261","chr11",86636083,86636583,501,"*",6.29295164732104,7.17250712950591,3.65082260040437,3.52168452910154,2.07724044912122e-18,1.10040104272058e-14
"75417","chr3",5138517,5139017,501,"*",6.28359807588795,7.17077761934019,3.55088965344277,3.61988796589742,2.0819242128854e-18,1.10040104272058e-14
"83606","chr3",189937628,189938128,501,"*",6.23010674088811,7.12910168498271,3.3436318892735,3.7854697957092,2.5164469192335e-18,1.2684074587097e-14
"106904","chr7",20228589,20229089,501,"*",6.18306969659928,7.11823322751976,2.67495583233035,4.4432773951894,2.59976933169774e-18,1.2684074587097e-14
"23771","chr11",103923465,103923965,501,"*",6.22202928991839,7.11933786188811,3.35860942252891,3.7607284393592,2.79343088996295e-18,1.31241590834659e-14
"40259","chr15",58332116,58332616,501,"*",6.5222617831201,7.3469253670826,4.3949125505697,2.9520128165129,3.01023616606609e-18,1.36376599334934e-14
"96730","chr5",154092395,154092895,501,"*",6.16093899607268,7.08512778521271,2.87298802175898,4.21213976345373,3.91560022609387e-18,1.71276455131193e-14
"88527","chr4",128461257,128461757,501,"*",6.46667819457243,7.30986106130466,4.18736851549291,3.12249254581176,4.68138309525517e-18,1.9794760279977e-14
"77053","chr3",40382537,40383037,501,"*",6.19134923813693,7.09407348424338,3.25244233414574,3.84163115009764,9.71881246305779e-18,3.97693805988325e-14
"25265","chr12",4433564,4434064,501,"*",6.12777279451778,7.04784194216622,2.91412179441565,4.13372014775056,1.13412291483281e-17,4.4958049997616e-14
"71378","chr20",54123586,54124086,501,"*",6.48785762892055,7.31366470787431,4.35162893539065,2.96203577248365,1.21833179592053e-17,4.68326742351851e-14
"16479","chr10",90931005,90931505,501,"*",6.56718592599543,7.37863190229676,4.53821903770157,2.84041286459519,1.2977906660621e-17,4.84198063445028e-14
"96700","chr5",153658129,153659041,913,"*",6.11217433890763,7.04399379666557,2.67495583233035,4.36903796433521,1.40172478714462e-17,5.0803312199677e-14
"95543","chr5",135641821,135642321,501,"*",6.14059593293044,7.04319321325634,3.20350805937271,3.83968515388363,1.49967853327772e-17,5.28436725842626e-14
"69405","chr20",18224924,18225424,501,"*",6.35799273592825,7.21082772688002,3.99177589082258,3.21905183605744,1.62487193645678e-17,5.57076364549771e-14
"59476","chr2",38432700,38433200,501,"*",6.16097094598359,7.06155220245758,3.25244233414574,3.80910986831184,3.09990356693843e-17,1.03481307177177e-13
"85750","chr4",53019723,53020223,501,"*",6.07696124168513,6.9964771121839,2.87298802175898,4.12348909042492,3.47396311783433e-17,1.10171597025644e-13
"26826","chr12",48021778,48022278,501,"*",6.12326593524451,7.01884085753489,3.2831420690215,3.73569878851339,3.54297237243081e-17,1.10171597025644e-13
"10964","chr1",218660270,218660770,501,"*",6.09081716529257,7.00993860802436,2.89370150264625,4.11623710537811,3.56087052474649e-17,1.10171597025644e-13
"67164","chr2",215619096,215619596,501,"*",6.10274623970165,7.04101205879389,2.52543615426007,4.51557590453382,3.74726008857229e-17,1.12592654185375e-13
"106308","chr7",7099452,7099952,501,"*",6.6686809624742,7.45726860303216,4.7936306526034,2.66363795042876,3.81663996623713e-17,1.12592654185375e-13
"11106","chr1",221718336,221718836,501,"*",6.07548167232476,7.01372687989775,2.49864295450465,4.5150839253931,4.22632715156365e-17,1.2184501177958e-13
"62770","chr2",108288593,108289093,501,"*",6.09597911644356,7.00718185407652,3.02970084050329,3.97748101357322,4.42843827275085e-17,1.24068574207664e-13
"23240","chr11",86484172,86484672,501,"*",6.76206977476392,7.52518747882134,5.03872478720569,2.48646269161565,4.49906537819866e-17,1.24068574207664e-13
"119044","chr9",17630504,17631004,501,"*",6.16511645973253,7.05016070139298,3.45840448673225,3.59175621466073,4.65968063431953e-17,1.25763788898872e-13
"101532","chr6",71489713,71490213,501,"*",6.14911880017443,7.03282816526922,3.45840448673225,3.57442367853698,4.80513889159994e-17,1.26987808057757e-13
"106948","chr7",21617017,21617517,501,"*",6.23648258825071,7.10665827622936,3.69792328450213,3.40873499172723,5.11456149286772e-17,1.29986709511333e-13
"106859","chr7",19404878,19405378,501,"*",6.64238192789007,7.42937935458871,4.77736713509811,2.6520122194906,5.1235577488464e-17,1.29986709511333e-13
"59459","chr2",38214196,38214696,501,"*",6.08027739715061,7.01172007858523,2.65082260040437,4.36089747818087,5.41171454311005e-17,1.34605257494627e-13
"4243","chr1",59994675,59995175,501,"*",6.1001529291007,7.05204092603336,2.16993808226025,4.88210284377311,5.7693165638584e-17,1.40740258607416e-13
"93071","chr5",78638312,78638812,501,"*",6.06188014054863,6.97810339199539,2.91412179441565,4.06398159757974,5.89988398756665e-17,1.41209827092605e-13
"33147","chr13",60274079,60274579,501,"*",6.07772287542034,6.99248929856885,2.95411520937467,4.03837408919418,6.57209659812242e-17,1.54385851419449e-13
"111765","chr7",130356112,130356612,501,"*",6.66847010606594,7.4630440170554,4.7549005829814,2.708143434074,8.01701575656002e-17,1.849044514093e-13
"108028","chr7",36962280,36962780,501,"*",6.16153412918148,7.03823954415181,3.55174081969369,3.48649872445812,9.33793653957666e-17,2.11524272485425e-13
"23245","chr11",86518979,86519479,501,"*",6.13729455349591,7.01654685808697,3.49864295450465,3.51790390358232,1.0891701280716e-16,2.40235486899189e-13
"31936","chr13",30338474,30338974,501,"*",6.05311708449397,6.95795202918813,3.0836054552258,3.87434657396232,1.09841849085178e-16,2.40235486899189e-13
"115867","chr8",94059304,94059804,501,"*",6.03166219852949,6.95462884391911,2.7661775915031,4.18845125241601,1.15980354609605e-16,2.49361693948094e-13
"27243","chr12",52442553,52443053,501,"*",6.32843980323973,7.16021976878117,4.14480203942095,3.01541772936022,1.1821253536621e-16,2.49924942271241e-13
"90297","chr4",173074204,173074704,501,"*",6.0189234454487,6.94118814776929,2.7661775915031,4.17501055626619,1.21805241392841e-16,2.53298991494504e-13
"79709","chr3",112688037,112688537,501,"*",6.0174027292346,6.94695370109919,2.62627879283291,4.32067490826628,1.27828429515825e-16,2.61536966789378e-13
"107402","chr7",26603603,26604103,501,"*",6.18175662353475,7.04435680055492,3.72128758701992,3.323069213535,1.37411112696726e-16,2.76680547108018e-13
"23749","chr11",103581689,103582189,501,"*",6.15753263964937,7.0246728478503,3.65082260040437,3.37385024744593,1.64533618235316e-16,3.26115914693536e-13
"23255","chr11",86592828,86593328,501,"*",6.17613793598765,7.04049933533605,3.69792328450213,3.34257605083392,1.74758250011743e-16,3.33783896080497e-13
"76024","chr3",16482737,16483237,501,"*",6.05759205302087,6.96395640051125,3.06546282627253,3.89849357423872,1.7565337676109e-16,3.33783896080497e-13
"114343","chr8",42720275,42720775,501,"*",6.59863588419913,7.38575923375497,4.73282935993009,2.65292987382487,1.76296164328456e-16,3.33783896080497e-13
"86750","chr4",83392606,83393106,501,"*",6.0184926820863,6.92714692802238,2.99177589082258,3.9353710371998,1.98233011973284e-16,3.69797853453457e-13
"94596","chr5",115366183,115366683,501,"*",6.08248146241249,6.9677193219227,3.37343306081502,3.59428626110767,2.25846589495515e-16,4.15204225662102e-13
"76021","chr3",16474194,16474694,501,"*",6.12140438862965,7.00037739370802,3.48594831062473,3.5144290830833,2.53417371592629e-16,4.53832869387325e-13
"16854","chr10",96673636,96674136,501,"*",6.02811879945201,6.92998041163462,3.10152276193905,3.82845764969557,2.54013604251412e-16,4.53832869387325e-13
"107008","chr7",22667801,22668301,501,"*",6.20582818113997,7.06183746821628,3.80971287315607,3.25212459506022,2.64995346531082e-16,4.66877634696678e-13
"48883","chr17",47279290,47279790,501,"*",6.23701824174399,7.08399663364643,3.92422456536291,3.15977206828352,2.86815107196875e-16,4.98398218878602e-13
"95577","chr5",136058375,136058875,501,"*",6.03865619955274,6.93876718445378,3.13670332041484,3.80206386403894,2.98481097503741e-16,5.11661137574926e-13
"12473","chr10",970538,971038,501,"*",6.26425661007248,7.10554388687429,4.00135100156132,3.10419288531296,3.23768766842632e-16,5.47609541486954e-13
"5532","chr1",93779467,93779967,501,"*",6.23164756873918,7.07356600314538,3.96330311923727,3.11026288390811,3.82294944140404e-16,6.37839924040754e-13
"32521","chr13",42134098,42134598,501,"*",6.10384591580266,6.97650471345411,3.53864843778246,3.43785627567165,3.87173037485716e-16,6.37839924040754e-13
"20403","chr11",31882828,31883328,501,"*",6.17585053833834,7.03436566591537,3.75563953778592,3.27872612812945,4.00447202656701e-16,6.51250366043691e-13
"85754","chr4",53119615,53120115,501,"*",6.14861472406814,7.01023426308796,3.69792328450213,3.31231097858583,4.14308719618539e-16,6.65264426595582e-13
"60340","chr2",53475078,53475578,501,"*",6.21168355552922,7.05694751246968,3.91412179441565,3.14282571805403,4.43016763998339e-16,6.98147625250395e-13
"4191","chr1",59186586,59187086,501,"*",6.03392761049027,6.92256763685203,3.2831420690215,3.63942556783053,4.45794765910526e-16,6.98147625250395e-13
"45703","chr16",77289307,77289807,501,"*",6.177538144928,7.02820580759773,3.83134811367551,3.19685769392223,5.26799228727739e-16,8.14945558080136e-13
"102747","chr6",108684715,108685215,501,"*",6.08051449353879,6.9534696311131,3.51210175266547,3.44136787844763,5.33678962425689e-16,8.15641490862933e-13
"67277","chr2",217331522,217332022,501,"*",6.41027639162388,7.22186199126044,4.38030909093442,2.84155290032603,5.69425785578496e-16,8.59914282764326e-13
"56215","chr19",40962409,40962909,501,"*",6.40050241626135,7.21367674476211,4.35909574175129,2.85458100301082,5.98869841206933e-16,8.9373925996214e-13
"119274","chr9",27261591,27262091,501,"*",5.96583504605679,6.89018165508929,2.67495583233035,4.21522582275893,6.24630423189026e-16,9.19877783811189e-13
"31887","chr13",29743293,29743793,501,"*",5.97028475171451,6.89615426693567,2.65082260040437,4.24533166653131,6.30887705290996e-16,9.19877783811189e-13
"100485","chr6",41622170,41622670,501,"*",6.06508233221985,6.94399421456556,3.43032454615056,3.513669668415,6.66354221437167e-16,9.5476956082012e-13
"105732","chr6",168755944,168756444,501,"*",6.04688049770699,6.9328885506432,3.32849723210632,3.60439131853688,6.6987111683687e-16,9.5476956082012e-13
"20187","chr11",27209442,27209942,501,"*",5.94996761864537,6.87987312512915,2.55174081969369,4.32813230543546,6.99087838008363e-16,9.85341004744853e-13
"108137","chr7",39247964,39248464,501,"*",6.07413099134331,6.94897326298373,3.485057416914,3.46391584606973,7.59571814876621e-16,1.05337364473634e-12
"83863","chr3",194212746,194213246,501,"*",5.98924342261809,6.890906644899,3.06546282627253,3.82544381862647,7.63964110268215e-16,1.05337364473634e-12
"60327","chr2",53353348,53353848,501,"*",6.00192015933404,6.89816399605333,3.15285554909292,3.74530844696041,8.07607121370801e-16,1.10157611354977e-12
"96925","chr5",158054247,158054747,501,"*",5.99853361132088,6.90706443786826,2.97370370537607,3.93336073249219,8.36447309976167e-16,1.1287767464372e-12
"82319","chr3",160641697,160642197,501,"*",6.01333197001911,6.91169312416376,3.13556832044947,3.77612480371429,8.48736457090722e-16,1.13330439005129e-12
"109450","chr7",80145762,80146262,501,"*",6.1708426646962,7.02430485660298,3.79877235474896,3.22553250185402,9.97891162080878e-16,1.31738851945622e-12
"44593","chr16",49696379,49696879,501,"*",6.04387857789894,6.92335727836261,3.4026310796067,3.52072619875591,1.01707494086615e-15,1.31738851945622e-12
"66427","chr2",200662696,200663196,501,"*",5.95031456084013,6.87121210558063,2.72204395611571,4.14916814946492,1.01775356247209e-15,1.31738851945622e-12
"97509","chr5",170151094,170151594,501,"*",6.19248346052871,7.04020981858066,3.87298802175898,3.16722179682168,1.03990242380901e-15,1.32150234347705e-12
"113224","chr8",19228714,19229214,501,"*",5.95348635177416,6.8564694702914,3.01086298143031,3.84560648886108,1.04176705410798e-15,1.32150234347705e-12
