PeakID (cmd=annotatePeaks.pl gain_I315IvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
8089	chr13	42747415	42747914	+	0	NA	Intergenic	Intergenic	-33886	NM_182508	144809	Hs.16970	NM_182508	ENSG00000179813	FAM216B	C13orf30	family with sequence similarity 216 member B	protein-coding
20498	chr6	71072488	71072987	+	0	NA	Intergenic	Intergenic	-115677	NM_080742	135152	Hs.713609	NM_080742	ENSG00000112309	B3GAT2	GLCATS	beta-1,3-glucuronyltransferase 2	protein-coding
8661	chr6	155014634	155015133	+	0	NA	Intergenic	Intergenic	-75406	NM_012454	26230	Hs.586279	NM_012454	ENSG00000146426	TIAM2	STEF|TIAM-2	T cell lymphoma invasion and metastasis 2	protein-coding
9874	chr10	85633605	85634104	+	0	NA	intron (NM_017551, intron 13 of 15)	intron (NM_017551, intron 13 of 15)	56123	NR_038986	100507470	Hs.585483	NR_038986	ENSG00000234942	GRID1-AS1	-	GRID1 antisense RNA 1	ncRNA
6	chr7	7099407	7099906	+	0	NA	Intergenic	Intergenic	-2870	NR_034022	100131257	Hs.551110	NR_034022		LOC100131257	-	zinc finger protein 655 pseudogene	pseudo
332	chr13	48818386	48818885	+	0	NA	Intergenic	LTR67B|LTR|ERVL	-157277	NM_001079673	22862	Hs.508010	NM_014923	ENSG00000102531	FNDC3A	FNDC3|HUGO|bA203I16.1|bA203I16.5	fibronectin type III domain containing 3A	protein-coding
26589	chr7	18798491	18798990	+	0	NA	intron (NM_058176, intron 16 of 22)	L1M4|LINE|L1	289470	NM_001204147	9734	Hs.196054	NM_014707	ENSG00000048052	HDAC9	HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
9364	chr3	54773208	54773707	+	0	NA	intron (NM_018398, intron 13 of 37)	intron (NM_018398, intron 13 of 37)	127798	NR_046666	100874237	Hs.570583	NR_046666	ENSG00000243715	CACNA2D3-AS1	-	CACNA2D3 antisense RNA 1	ncRNA
3063	chr2	223469271	223469770	+	0	NA	Intergenic	MLT1H|LTR|ERVL-MaLR	132841	NM_003469	7857	Hs.516726	NM_003469	ENSG00000171951	SCG2	CHGC|EM66|SN|SgII	secretogranin II	protein-coding
19512	chr2	188902820	188903319	+	0	NA	Intergenic	Intergenic	-71304	NM_000090	1281	Hs.443625	NM_000090	ENSG00000168542	COL3A1	EDS4A|EDSVASC|PMGEDSV	collagen type III alpha 1 chain	protein-coding
27255	chr12	100926608	100927107	+	0	NA	intron (NM_001286616, intron 2 of 26)	MamGypLTR1b|LTR|Gypsy	25211	NM_001286616	121601	Hs.58785	NM_178826	ENSG00000151572	ANO4	TMEM16D	anoctamin 4	protein-coding
20736	chr15	70863373	70863872	+	0	NA	intron (NM_001284357, intron 1 of 16)	LTR88b|LTR|Gypsy?	-9465	NM_018357	55323	Hs.416755	NM_018357	ENSG00000166173	LARP6	ACHN	La ribonucleoprotein domain family member 6	protein-coding
21081	chr5	81029650	81030149	+	0	NA	intron (NM_006909, intron 1 of 26)	L1PA5|LINE|L1	-68992	NR_105015	102524628	Hs.737159	NR_105015	ENSG00000251450	RASGRF2-AS1	-	RASGRF2 antisense RNA 1	ncRNA
6143	chr11	35629882	35630381	+	0	NA	Intergenic	Intergenic	11671	NM_014344	24147	Hs.39384	NM_014344	ENSG00000179431	FJX1	-	four-jointed box kinase 1	protein-coding
10003	chr1	170493832	170494331	+	0	NA	intron (NR_125958, intron 1 of 2)	MIR3|SINE|MIR	-38041	NM_152281	92344	Hs.183702	NM_152281	ENSG00000120370	GORAB	GO|NTKLBP1|SCYL1BP1	golgin, RAB6 interacting	protein-coding
8599	chr3	132135941	132136440	+	0	NA	Intergenic	Intergenic	-96584	NM_153429	131034	Hs.199877	NM_130808	ENSG00000196353	CPNE4	COPN4|CPN4	copine 4	protein-coding
1951	chr10	29922807	29923306	+	0	NA	Intergenic	Intergenic	136530	NM_001350001	57608	Hs.533953	NM_020848	ENSG00000165757	JCAD	KIAA1462	junctional cadherin 5 associated	protein-coding
