ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	neg_log_padj	GeneRatio_numeric	neg_log_p
GO:0051056	regulation of small GTPase mediated signal transduction	11/137	300/18986	0.03666666666666667	5.081411192214111	6.074831458718842	1.1576134720440501e-5	0.024788645488098292	0.02122485386000658	ARHGAP40/ARHGDIB/ARHGEF3/CDON/DOCK2/FGD3/FGD4/HEG1/KITLG/NGF/RHOU	11	1.6057472034910003	0.08029197080291971	1.6057472034910003
GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	3/137	10/18986	0.3	41.575182481751824	10.94156823120768	4.250308243367618e-5	0.024788645488098292	0.02122485386000658	DUSP10/FOXO1/MAP3K20	3	1.6057472034910003	0.021897810218978103	1.6057472034910003
GO:0031579	membrane raft organization	4/137	29/18986	0.13793103448275862	19.115026428391644	8.322898397506446	5.356675988672623e-5	0.024788645488098292	0.02122485386000658	CAV1/COLEC12/DOCK2/S100A10	4	1.6057472034910003	0.029197080291970802	1.6057472034910003
GO:0007264	small GTPase-mediated signal transduction	13/137	491/18986	0.026476578411405296	3.66922859648862	5.108822034263171	5.714106358487614e-5	0.024788645488098292	0.02122485386000658	ARHGAP40/ARHGDIB/ARHGEF3/CDON/DOCK2/FGD3/FGD4/HEG1/KITLG/NGF/RASGRP3/RHOBTB1/RHOU	13	1.6057472034910003	0.0948905109489051	1.6057472034910003
GO:2000169	regulation of peptidyl-cysteine S-nitrosylation	3/137	11/18986	0.2727272727272727	37.7956204379562	10.406938969134401	5.813301603064678e-5	0.024788645488098292	0.02122485386000658	ATP2B4/NCOA7/NOS1AP	3	1.6057472034910003	0.021897810218978103	1.6057472034910003
GO:0001667	ameboidal-type cell migration	9/137	241/18986	0.03734439834024896	5.175333918890268	5.561327098427483	6.448575547488431e-5	0.024788645488098292	0.02122485386000658	SEMA4G/ARHGDIB/DUSP10/ITGB3/KIT/KITLG/NRP2/PDLIM1/PRR5L	9	1.6057472034910003	0.06569343065693431	1.6057472034910003
GO:0045785	positive regulation of cell adhesion	13/137	499/18986	0.026052104208416832	3.6104032883284813	5.037859915217318	6.730819178304424e-5	0.024788645488098292	0.02122485386000658	CAV1/CCDC80/DUSP10/GLI2/IL7R/ITGA6/ITGB3/KITLG/LAMB1/PDCD1LG2/PODXL/S100A10/TNFSF18	13	1.6057472034910003	0.0948905109489051	1.6057472034910003
GO:0060537	muscle tissue development	12/137	447/18986	0.026845637583892617	3.7203742712977026	4.962044961957976	9.775928524332201e-5	0.03150292966966052	0.026973844888848193	ALPK2/ANKRD1/CAV1/CDON/GJA5/HEG1/HIVEP3/JARID2/NEURL1/NPPB/RCAN1/TIPARP	12	1.501649056362659	0.08759124087591241	1.501649056362659
GO:0003012	muscle system process	12/137	465/18986	0.025806451612903226	3.576359783376501	4.795370849607597	1.4147003442569356e-4	0.033717721116985726	0.02887022219685561	ATP2B4/CALD1/CAV1/FBXO32/FOXO1/GJA5/JARID2/KIT/MYL4/NEDD4L/NOS1AP/STAC	12	1.4721417857603125	0.08759124087591241	1.4721417857603125
GO:0017014	protein nitrosylation	3/137	15/18986	0.2	27.716788321167886	8.824826874172063	1.5694827517603906e-4	0.033717721116985726	0.02887022219685561	ATP2B4/NCOA7/NOS1AP	3	1.4721417857603125	0.021897810218978103	1.4721417857603125
