Intensity 01_rerun	Intensity 02	Intensity 03	Intensity 04	Intensity 05	Intensity 06	Intensity 07	Intensity 08	Intensity 09	Intensity 10	C: Reverse	C: Potential contaminant	C: Taxonomy IDs	C: Student's T-test Significant I315I_I315R	C: Student's T-test significant	C: Student's T-test Significant I315I_I315X	C: Student's T-test significant_	C: Student's T-test Significant I315R_I315X	C: Student's T-test significant__	C: Student's T-test Significant I315R_I315X_	C: Student's T-test significant___	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: iBAQ peptides	N: MS/MS count	N: -Log Student's T-test p-value I315I_I315R	N: Student's T-test Difference I315I_I315R	N: Student's T-test Test statistic I315I_I315R	N: -Log Student's T-test p-value I315I_I315X	N: Student's T-test Difference I315I_I315X	N: Student's T-test Test statistic I315I_I315X	N: -Log Student's T-test p-value I315R_I315X	N: Student's T-test q-value I315R_I315X	N: Student's T-test Difference I315R_I315X	N: Student's T-test Test statistic I315R_I315X	N: -Log Student's T-test p-value I315R_I315X_	N: Student's T-test Difference I315R_I315X_	N: Student's T-test Test statistic I315R_I315X_	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
20.2442	21.0953	21.7609	20.7818	21.733	19.9262	21.383	21.1693	20.5894	21.1581		#ERROR!	-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	2	2	2	15.2	15.2	15.2	15.954	0	2.8513	22332000	12	13	0.620871	-0.499473	-1.38105	1.41006	-1.08869	-3.0269	1.54271	0.605778	-0.589216	-3.34654	1.54271	-0.589216	-3.34654	CON__P02070;CON__Q3SX09;P69892;P69891;P68871;P02100;P02042	CON__P02070;CON__Q3SX09;P69892;P69891;P68871;P02100;P02042	Hemoglobin subunit gamma-2;Hemoglobin subunit gamma-1;Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin;Hemoglobin subunit epsilon;Hemoglobin subunit delta	HBG2;HBG1;HBB;HBE1;HBD	12
19.8878	22.4128	18.4823	19.4454	18.2794	20.3242	18.3523	19.1309	20.1224	20.1664		#ERROR!	-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	3	3	3	5.6	5.6	5.6	69.293	0	5.0505	12173000	47	7	0.798878	1.37221	1.72883	1.60968	2.58177	3.51479	1.74647	0.7	1.20956	3.87431	1.74647	1.20956	3.87431	CON__P02769	CON__P02769			19
18.6307	20.0989	20.8367	19.1584	20.0744	16.812	19.9132	19.5929	18.6988	19.2148			-1							#ERROR!	I315R_I315X	1	1	1	10.5	10.5	10.5	17.561	0	3.3686	7902800	14	7	0.337175	-0.785468	-0.816457	0.808967	-1.73821	-1.74871	1.40595	0.641405	-0.952743	-3.01726	1.40595	-0.952743	-3.01726	O00422	O00422	Histone deacetylase complex subunit SAP18	SAP18	43
20.9285	26.9329	23.2785	24.5889	21.9279	27.1312	23.3584	24.4722	27.0447	24.6898			-1	#ERROR!	I315I_I315R	#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	45	45	42	31.9	31.9	30.2	242.04	0	210.46	516050000	77	186	5.06341	2.45263	28.8084	3.06292	4.18134	8.94178	1.67789	0.534727	1.72871	3.6913	1.67789	1.72871	3.6913	O14497	O14497	AT-rich interactive domain-containing protein 1A	ARID1A	50
21.2661	19.9989	21.72	20.3325	21.5129	19.5503	20.8143	19.9783	18.3173	20.3543			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	1	1	1	6.8	6.8	6.8	21.993	0	2.4501	16649000	5	8	0.836618	-0.93287	-1.80332	1.64222	-2.06023	-3.59833	1.70369	0.709	-1.12736	-3.75948	1.70369	-1.12736	-3.75948	O75508	O75508	Claudin-11	CLDN11	93
19.2873	20.3062	19.8741	18.5932	21.6536	18.7348	19.9385	19.0204	19.3683	17.4544			-1							#ERROR!	I315R_I315X	2	2	2	3.1	3.1	3.1	106.92	0.0015823	2.4147	7200900	63	3	0.78668	1.11375	1.70484	0.618561	-1.01894	-1.37655	1.33573	0.598044	-2.13269	-2.85503	1.33573	-2.13269	-2.85503	O94906	O94906	Pre-mRNA-processing factor 6	PRPF6	110
18.1477	18.3907	19.6693	15.9802	21.0053	17.3814	19.3302	17.553	17.9132	18.4685			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	2	2	2	8.6	8.6	8.6	36.112	0	3.0916	3790100	22	2	0.289783	0.561208	0.71681	1.6347	-2.1065	-3.57892	1.39963	0.624526	-2.66771	-3.00248	1.39963	-2.66771	-3.00248	P05198	P05198	Eukaryotic translation initiation factor 2 subunit 1	EIF2S1	137
34.1226	34.4882	34.7174	34.3034	34.529	33.118	34.4048	33.9985	32.9591	33.9211			-1							#ERROR!	I315R_I315X	73	73	60	92.9	92.9	83.9	53.651	0	323.31	190880000000	33	3277	0.480893	-0.55254	-1.10682	0.976095	-1.02863	-2.08304	1.49052	0.574625	-0.476093	-3.2187	1.49052	-0.476093	-3.2187	P08670	P08670	Vimentin	VIM	163
17.9114	19.304	19.4804	18.1607	19.5358	18.91	18.682	18.4843	19.1788	18.4209			-1	#ERROR!	I315I_I315R					#ERROR!	I315R_I315X	1	1	1	11.7	11.7	11.7	13.53	0.002994	2.0535	4235600	8	3	2.15	0.775604	5.08026	0.124456	-0.101822	-0.340181	1.39601	0.608513	-0.877426	-2.99402	1.39601	-0.877426	-2.99402	P14927	P14927	Cytochrome b-c1 complex subunit 7	UQCRB	206
26.2767	26.8352	26.891	26.33	26.7586	25.6752	26.3871	26.1948	25.3367	26.1369			-1							#ERROR!	I315R_I315X	23	16	16	45.9	34.9	34.9	69.147	0	113.25	857690000	35	190	0.23309	-0.271498	-0.593684	0.695504	-0.729846	-1.52645	1.32979	0.592783	-0.458347	-2.84151	1.32979	-0.458347	-2.84151	P17844	P17844	Probable ATP-dependent RNA helicase DDX5	DDX5	220
