X	seqnames	start	end	width	strand	Conc	Conc_WT	Conc_MUTANT	Fold	p.value	FDR
5748	chr1	171295399	171295899	501	*	6.52609715458547	7.2477253576682	5.01546717081427	2.23225818685393	5.32696364765992e-14	4.03831787165451e-9
71471	chr7	137953645	137954145	501	*	6.77115238356315	7.46202185768684	5.3968676509991	2.06515420668774	1.49578434759146e-13	5.66969578032804e-9
76384	chr9	80061827	80062327	501	*	6.42310838613268	7.14112101573446	4.92934658875938	2.21177442697507	1.24334942529762e-12	3.14190255274624e-8
14929	chr11	86518957	86519457	501	*	5.64356036859706	6.49200114126958	3.31763132136682	3.17436981990276	1.95959125138916e-12	3.71386632941403e-8
44297	chr2	224679061	224679561	501	*	6.23224936790742	6.96048249865925	4.69017350523604	2.27030899342321	3.81890085195254e-12	5.7901410937134e-8
25523	chr15	58332017	58332517	501	*	6.05922247404994	6.80883397291697	4.40931229599656	2.39952167692041	7.30667575901164e-12	9.23186304358189e-8
56561	chr4	88195762	88196262	501	*	6.06283414222724	6.8167553094462	4.38996929048938	2.42678601895682	1.01325967003205e-11	1.09734574750657e-7
53963	chr3	176469725	176470225	501	*	6.39296339968701	7.0727149107903	5.06429725806207	2.00841765272823	4.65601224175541e-11	4.01529615055117e-7
5740	chr1	171220635	171221135	501	*	6.16789122141859	6.88234158479912	4.69051764259883	2.19182394220029	4.76693603067716e-11	4.01529615055117e-7
50667	chr3	46114363	46114863	501	*	6.45309805287932	7.11674916337125	5.18745349573671	1.92929566763454	5.83560510633372e-11	4.42391387506053e-7
44626	chr2	233974468	233974968	501	*	6.04569024714218	6.77691951518461	4.48907216005724	2.28784735512737	9.14039214149449e-11	6.29930898049596e-7
34629	chr18	57698627	57699127	501	*	6.32395124823007	7.00289306569811	4.99853824903933	2.00435481665878	1.053350025337e-10	6.65445100589769e-7
70337	chr7	96657624	96658124	501	*	5.68455325561154	6.46010388864293	3.88947879804322	2.57062509059971	1.92737943904448e-10	1.12394390688095e-6
51897	chr3	99911384	99911884	501	*	6.12178717644451	6.83654715121291	4.64299819074398	2.19354896046892	2.0833600258661e-10	1.12812457286345e-6
53797	chr3	171811405	171811905	501	*	5.27913349538269	6.14501563708983	2.78540091350875	3.35961472358108	2.36755585694674e-10	1.19654694639517e-6
29246	chr16	77298471	77298971	501	*	5.32062244665557	6.16819454728692	3.00251198671306	3.16568256057386	3.11356549395802e-10	1.47522679082165e-6
