X	seqnames	start	end	width	strand	Conc	Conc_WT	Conc_MUTANT	Fold	p.value	FDR
111194	chr8	6503117	6503617	501	*	6.42887680311283	5.43728034231818	7.01102721107662	-1.57374686875845	9.43517574331002e-8	5.63070162419737e-6
38386	chr15	35398164	35398664	501	*	6.35298075981005	5.31623501621351	6.9499867614646504	-1.63375174525115	2.85699431214564e-7	1.30550873677347e-5
106746	chr7	45911217	45911717	501	*	6.85000067220687	6.10714988205361	7.33794239549894	-1.23079251344533	1.9115608363707e-6	5.68862001911014e-5
55670	chr19	43192231	43192731	501	*	6.31795719639256	5.43364636565485	6.86219897971485	-1.42855261405999	2.31591796280906e-6	6.61893497877302e-5
82880	chr4	1774027	1774527	501	*	6.10520114530333	5.10565714243663	6.69001161494589	-1.58435447250926	3.89504220715462e-6	9.89898517359301e-5
104270	chr7	2612288	2612788	501	*	6.85290403485748	6.1365062111865	7.32942554134845	-1.19291933016195	5.22547043953159e-6	1.24093467942677e-4
104333	chr7	4801165	4801665	501	*	7.04755507592142	6.42024582691608	7.4833087712424	-1.06306294432631	5.48557213451433e-6	1.28336752589424e-4
80620	chr3	155178910	155179410	501	*	6.03323014379175	5.06709229013784	6.60672630835094	-1.5396340182131	5.71326149257449e-6	1.32544474861531e-4
70650	chr20	62466986	62467486	501	*	6.24583033889546	5.35004970930552	6.79431006755778	-1.44426035825227	5.97348368384905e-6	1.37213802696037e-4
111204	chr8	6586411	6586911	501	*	5.83410336258904	4.81866163896503	6.42417659303026	-1.60551495406523	8.44285084077884e-6	1.78032972341752e-4
110464	chr7	139566877	139567377	501	*	5.8859760559047	4.90164017879313	6.46567915879043	-1.56403897999731	9.07755172184772e-6	1.87855559976663e-4
32764	chr13	62928002	62928502	501	*	5.84586185399126	4.85171568956664	6.42886778596332	-1.57715209639667	1.14561502449709e-5	2.23817548551554e-4
12957	chr10	14340230	14340730	501	*	5.68917056721439	4.61137152538549	6.29916089714755	-1.68778937176207	1.15778862533642e-5	2.25596004349239e-4
67966	chr20	3924808	3925308	501	*	5.93454138687278	4.97679479263751	6.50513986878421	-1.5283450761467	1.21777541606271e-5	2.3473878865621e-4
56290	chr19	48639025	48639525	501	*	6.58701271153311	5.86076026306802	7.06782372494786	-1.20706346187984	1.40276707520596e-5	2.62821770670992e-4
104510	chr7	6531945	6532929	985	*	6.93853506749875	6.30635235328014	7.3766154632139	-1.07026310993377	1.80256260745565e-5	3.18035762922295e-4
67237	chr2	234436485	234436985	501	*	5.59273110951095	4.53431051975565	6.19665300116389	-1.66234248140824	2.2177392140415e-5	3.72205535530788e-4
4636	chr1	68114811	68115311	501	*	7.0349296423135	6.42086359665411	7.46430166940559	-1.04343807275148	2.32649282484013e-5	3.8552381299735e-4
55671	chr19	43194387	43194887	501	*	6.40556736029233	5.66086892951157	6.89429561410624	-1.23342668459468	2.36347034421783e-5	3.89733287826607e-4
55301	chr19	39310923	39311423	501	*	6.21046360537176	5.37929874573029	6.73445180479306	-1.35515305906277	2.43517453915516e-5	3.98917132495055e-4
54577	chr19	18646853	18647353	501	*	5.65754722073601	4.63684932758315	6.24934355296856	-1.61249422538542	2.5440139585431e-5	4.12336624036964e-4
115474	chr8	126472903	126473403	501	*	7.12604851671876	6.54052092850577	7.54136847676327	-1.00084754825749	2.99294201267616e-5	4.66546182283795e-4
105310	chr7	23220740	23221240	501	*	6.1611700104906	5.35132824278648	6.67673672254298	-1.3254084797565	3.04189588675141e-5	4.72001282090388e-4
43417	chr16	28534302	28534802	501	*	6.42642661598975	5.70674214384615	6.90438340735976	-1.19764126351361	3.38680425819678e-5	5.13471802270857e-4
12029	chr1	244024373	244024873	501	*	5.52145302156631	4.45769041078507	6.12705849186437	-1.6693680810793	3.48706521602156e-5	5.25871046697956e-4
105311	chr7	23223162	23223662	501	*	5.62636760134652	4.60492346974978	6.21840789404473	-1.61348442429496	3.87727321396807e-5	5.68443638281613e-4
2021	chr1	27070226	27070726	501	*	6.75394304649838	6.1155049016277	7.19499297198109	-1.07948807035338	3.89813039620315e-5	5.70393449482482e-4
61595	chr2	99640859	99641359	501	*	6.00891964225852	5.16818190434864	6.53663261627679	-1.36845071192816	4.14568715699863e-5	5.97286748821611e-4
46477	chr17	16431867	16432367	501	*	6.23711678204133	5.44090518842187	6.74720841148789	-1.30630322306602	4.50316513320709e-5	6.36786396662965e-4
61398	chr2	96220068	96220568	501	*	4.69177765092689	3.14761885543646	5.42044216738395	-2.27282331194749	4.54994906849495e-5	6.41944739413556e-4
115484	chr8	126501709	126502209	501	*	6.8987186018846	6.30237268021612	7.31941430551421	-1.0170416252981	4.82927637126886e-5	6.69955733420951e-4
204	chr1	3463845	3464345	501	*	5.83543712721154	4.83530950133133	6.42044216738395	-1.58513266605262	4.95087832927327e-5	6.82813432015049e-4
91917	chr5	82912667	82913167	501	*	5.57853260934028	4.57883913129684	6.16339292160196	-1.58455379030512	5.22590969968083e-5	7.12444530484713e-4
75043	chr3	23981932	23982432	501	*	6.21504285273538	5.42758089689242	6.72158139453176	-1.29400049763934	5.28499949730317e-5	7.18553445785797e-4
27315	chr12	57223262	57223762	501	*	6.28851827931695	5.55674661499757	6.77171339959296	-1.21496678459538	5.52587224163901e-5	7.4399565555887e-4
6320	chr1	112687990	112688490	501	*	5.27825122405983	4.13575381429169	5.90774795291086	-1.77199413861917	5.62231925254424e-5	7.53803438227738e-4
19098	chr11	8846008	8846508	501	*	5.43372505496065	4.33841776009386	6.04910705383695	-1.71068929374309	5.77352585936646e-5	7.6959491701328e-4
83009	chr4	3488226	3488726	501	*	6.43013603817809	5.73554996257029	6.8970120593418	-1.16146209677151	5.78512899431228e-5	7.70573244136019e-4
96378	chr5	176521131	176521631	501	*	5.73309069032115	4.80560885615093	6.29304716414958	-1.48743830799865	5.80762544937708e-5	7.72661027454983e-4
13387	chr10	21787926	21788426	501	*	5.17463132919747	3.96843927155884	5.8222579886049	-1.85381871704605	6.08302379380729e-5	7.99313561076158e-4
23749	chr11	111447521	111448021	501	*	5.83037410661127	4.93800588247041	6.37759781198064	-1.43959192951022	6.49654467649079e-5	8.40093452711126e-4
