X	seqnames	start	end	width	strand	Conc	Conc_WT	Conc_MUTANT	Fold	p.value	FDR
59546	chr2	53505719	53506219	501	*	6.41281777577996	7.305678815734	3.608368529773	3.697310285961	5.7799637112979e-19	7.20073659117203e-14
92437	chr5	95712381	95712881	501	*	6.57454244962073	7.39524536526214	4.47747980273626	2.91776556252588	1.48528636069011e-17	9.25192300505674e-13
103811	chr6	163745824	163746324	501	*	6.2554450404261	7.14170382407807	3.53400871979596	3.60769510428212	5.34965048544413e-17	1.96707416118193e-12
105270	chr7	22786177	22786677	501	*	6.31120438439646	7.18878800027401	3.69153116481804	3.49725683545597	6.31580790387595e-17	1.96707416118193e-12
44948	chr16	77298533	77299033	501	*	6.24558036246845	7.12528054379327	3.60178839815064	3.52349214564263	1.30384551562572e-16	3.24868756364335e-12
104548	chr7	7099406	7099906	501	*	6.32000149286352	7.19451858105403	3.73451121382529	3.46000736722874	1.76517108047957e-16	3.57793447239394e-12
79961	chr3	141084100	141084600	501	*	6.15309171007296	7.06041817471343	3.1465378228435	3.91388035186993	2.15683243464531e-16	3.57793447239394e-12
76197	chr3	46114243	46114743	501	*	6.45416715024339	7.27589712164926	4.34931957182206	2.9265775498272	2.29757954898031e-16	3.57793447239394e-12
103295	chr6	154555094	154555594	501	*	6.48177591278755	7.29538172691837	4.4372444828714	2.85813724404696	3.67437878815863e-16	5.08619759786212e-12
59544	chr2	53475195	53475695	501	*	6.12353159047844	7.02826202977922	3.1555517078489	3.87271032193032	4.89095958892353e-16	6.09320636547682e-12
39625	chr15	58331944	58332444	501	*	6.17062959128171	7.06238797446092	3.38040797200127	3.68198000245964	5.84973151075813e-16	6.6251400121978e-12
87074	chr4	128461278	128461778	501	*	6.13192147896233	7.06628607039856	2.64107995053307	4.42520611986549	7.45880710219385e-16	7.7435470633201e-12
79084	chr3	125003266	125003766	501	*	6.12855469301399	7.02625077990711	3.25987185748661	3.7663789224205	8.36354843745623e-16	7.89349600319351e-12
34986	chr14	35607752	35608252	501	*	6.46922688547967	7.27488202064201	4.48106964650824	2.79381237413377	8.87044926952819e-16	7.89349600319351e-12
109969	chr7	130356163	130356663	501	*	6.22947990130757	7.0884161372571	3.80517565214891	3.28324048510819	1.06302438748154e-15	8.82884274778921e-12
5484	chr1	93779507	93780007	501	*	6.05667295946539	6.99250180347972	2.53400871979596	4.45849308368376	1.23773068076244e-15	9.39327292623279e-12
22895	chr11	86484184	86484684	501	*	6.34432553348343	7.17507818607535	4.16896781024667	3.00611037582868	1.30852712537248e-15	9.39327292623279e-12
90122	chr5	38783063	38783563	501	*	6.07781926285364	7.02142266268021	2.37269845099083	4.64872421168938	1.35718057065034e-15	9.39327292623279e-12
97576	chr6	15065652	15066152	501	*	6.08769774398593	7.04025964688342	2.13746726527167	4.90279238161175	1.97737491188176e-15	1.24482352395653e-11
74319	chr3	5138527	5139027	501	*	6.11991476534361	7.00764588321726	3.38040797200127	3.62723791121599	1.99841632986817e-15	1.24482352395653e-11
120230	chr9	114907988	114908488	501	*	6.0382975284235	6.98093672980596	2.35715470201227	4.62378202779369	2.4959448952805e-15	1.45465768009281e-11
22917	chr11	86636069	86636569	501	*	6.02513055072343	6.94523314714846	2.81089226763094	4.13434087951752	2.5688081619221e-15	1.45465768009281e-11
118445	chr9	80061908	80062408	501	*	6.48208274256172	7.28702113028215	4.49888608687565	2.78813504340651	2.81030917323326e-15	1.5222222917851e-11
10257	chr1	208107764	208108264	501	*	6.66608771333124	7.4260431566422	4.96033697582179	2.46570618082041	3.07455537305192e-15	1.53479816929487e-11
82236	chr3	189937647	189938147	501	*	6.01128283063047	6.94566250366641	2.52011724756955	4.42554525609686	3.07992023120473e-15	1.53479816929487e-11
55428	chr19	40962410	40962910	501	*	6.00038278274286	6.91906331341284	2.81089226763094	4.1081710457819	3.83437441673656e-15	1.71463575236594e-11
5583	chr1	94697785	94698745	961	*	6.18623595722875	7.04065596234424	3.80517565214891	3.23548031019533	3.8370843114877e-15	1.71463575236594e-11
105107	chr7	19404834	19405334	501	*	6.35708465402576	7.18555066731395	4.19996734018483	2.98558332712912	3.8537016933759e-15	1.71463575236594e-11
66262	chr2	217331492	217331992	501	*	6.11052165487433	6.9854844752086	3.52011724756955	3.46536722763905	4.4916102929132e-15	1.92954931690145e-11
105647	chr7	26603610	26604110	501	*	6.1603588757744	7.02625077990711	3.66652608204708	3.35972469786004	4.83177666274518e-15	2.00649189473819e-11
70326	chr20	54123532	54124032	501	*	6.30889764400896	7.13574850076248	4.16450962406987	2.97123887669261	5.65093016687728e-15	2.27096300361206e-11
106090	chr7	33669244	33669744	501	*	5.98018810380761	6.89768892534799	2.81089226763094	4.08679665771705	6.20740292657386e-15	2.41663894998593e-11
11641	chr1	233112877	233113377	501	*	6.04428166557079	6.96674800728885	2.78788862495935	4.17885938232949	6.70228800883138e-15	2.53023558311583e-11
32657	chr13	60274110	60274610	501	*	6.02393086246309	6.91429474768537	3.25148858276823	3.66280616491714	7.78462799999179e-15	2.85240217902052e-11
111482	chr8	21067961	21068461	501	*	6.08243905796228	6.96129763178001	3.44828999110259	3.51300764067742	8.09863317408682e-15	2.88267376988832e-11
25716	chr12	26274513	26275013	501	*	6.52261540438579	7.29904471620347	4.72230994623313	2.57673476997034	9.38698758138866e-15	3.20645055396982e-11
60484	chr2	69196462	69196962	501	*	6.14747784471631	7.00274916671546	3.75837476298065	3.2443744037348	9.52301478531102e-15	3.20645055396982e-11
28227	chr12	75780045	75780545	501	*	6.41931126119058	7.23265058448307	4.37671062806696	2.85593995641611	9.79512142622746e-15	3.21127900631801e-11
105256	chr7	22667787	22668287	501	*	6.04701300899335	6.923386417007	3.44093572317195	3.48245069383505	1.11803485523686e-14	3.53119769702496e-11
95192	chr5	154141555	154142055	501	*	5.9527589191261	6.86794380144957	2.8222579886049	4.04568581284467	1.1337837060306e-14	3.53119769702496e-11
96328	chr5	175378383	175378883	501	*	5.9911273718892	6.93969463710232	2.1555517078489	4.78414292925342	1.19598249645478e-14	3.63406574123983e-11
20449	chr11	44235714	44236214	501	*	6.13929211357096	6.99620790746356	3.73451121382529	3.26169669363827	1.29856751595656e-14	3.85182951679485e-11
107345	chr7	73894886	73895386	501	*	6.06127398077061	6.94480366281284	3.37269845099083	3.57210521182201	1.34360547088876e-14	3.89273751555331e-11
88855	chr4	173074244	173074744	501	*	5.97647096124459	6.90250635759993	2.65385911764878	4.24864723995114	1.44550358656763e-14	4.09277914359505e-11
61940	chr2	108288636	108289136	501	*	5.93144807646154	6.84533238459506	2.8222579886049	4.02307439599016	2.2554122731508e-14	6.2440336978089e-11
94058	chr5	135641757	135642257	501	*	5.94677976012018	6.86435329668331	2.77624777866508	4.08810551801823	2.33006648609267e-14	6.31047854138937e-11
55423	chr19	40921147	40921647	501	*	6.08972916813537	7.05570886008948	1.66652608204708	5.3891827780424	2.42796053209566e-14	6.43569683082999e-11
66584	chr2	223262945	223263445	501	*	5.9403294705972	6.83940247190646	3.0527778393888	3.78662463251766	2.55741428530894e-14	6.63760893912652e-11
44742	chr16	72371114	72371614	501	*	6.08063174954556	6.95285764052177	3.52011724756955	3.43274039295222	3.85733041166184e-14	9.807144490107e-11
11396	chr1	228809770	228810270	501	*	5.93600213286923	6.82699642032761	3.1555517078489	3.67144471247871	4.42701990398833e-14	1.10304513331754e-10
357	chr1	6956408	6956908	501	*	5.97414665071055	6.85079904239285	3.36494751014976	3.48585153224309	5.23948056588926e-14	1.27988182035108e-10
10258	chr1	208111863	208112363	501	*	6.46978265466411	7.23822473692343	4.71623056355566	2.52199417336777	5.56213014201072e-14	1.33256872158046e-10
75923	chr3	41176694	41177194	501	*	5.9300177072329	6.8191237419352	3.1734122622595	3.6457114796757	6.20724312838262e-14	1.45483778818994e-10
115541	chr8	127035580	127036080	501	*	6.08205641796067	6.9315605097449	3.74649232856758	3.18506818117732	6.306037081277e-14	1.45483778818994e-10
75874	chr3	40382465	40382965	501	*	5.9240161588329	6.82189986061482	3.0527778393888	3.76912202122602	6.63753329384455e-14	1.50347370050991e-10
23190	chr11	95501746	95502246	501	*	5.91850369933447	6.8629901067619	2.19105440432063	4.67193570244127	7.30104850881272e-14	1.62423557906499e-10
10826	chr1	218660225	218661151	927	*	5.89862800663683	6.81260755495188	2.78788862495935	4.02471892999253	7.55580773239067e-14	1.65142119843678e-10
26158	chr12	42756983	42757483	501	*	5.96748081227584	6.85259942621218	3.25987185748661	3.59272756872557	7.88003258928839e-14	1.69259024138989e-10
30290	chr12	119178555	119179055	501	*	6.26673762670702	7.07447675738054	4.26404529762078	2.81043145975976	9.14880698611156e-14	1.93180936124875e-10
110223	chr7	134779247	134779747	501	*	5.92609450247637	6.8070139840093	3.26820669960854	3.53880728440076	9.54954024267161e-14	1.98281878828712e-10
105154	chr7	20228561	20229061	501	*	5.98628588220525	6.94905647828374	1.69153116481804	5.2575253134657	9.77819738794199e-14	1.99701247342164e-10
114808	chr8	109229179	109229679	501	*	5.88538541920266	6.78768883832972	2.95249828749418	3.83519055083554	1.097730506746e-13	2.20574781066006e-10
71136	chr21	26390014	26390514	501	*	5.93890951828815	6.82375643821723	3.23457446091031	3.58918197730692	1.24531418443834e-13	2.45044962724642e-10
37133	chr14	79514601	79515101	501	*	5.91142301991392	6.80980681996866	3.03334908109907	3.77645773886959	1.25884987392757e-13	2.45044962724642e-10
22900	chr11	86519063	86519563	501	*	5.924982950213	6.80795219919101	3.24305630929189	3.56489588989912	1.32496973188165e-13	2.53947775642382e-10
35156	chr14	49505381	49505881	501	*	5.83151049504851	6.74875718443501	2.66652608204708	4.08223110238793	1.4069467182688e-13	2.62241612482445e-10
75356	chr3	31041329	31041829	501	*	5.89879934136329	6.8041889856543	2.92112821440453	3.88306077124977	1.41034251100279e-13	2.62241612482445e-10
65871	chr2	207258316	207258816	501	*	5.9681434841823	6.85123802328954	3.28473330215035	3.56650472113919	1.45687692717287e-13	2.63986237661451e-10
79885	chr3	140116939	140117439	501	*	6.51061076154908	7.26843317690907	4.81658632064956	2.45184685625951	1.46210500787761e-13	2.63986237661451e-10
103472	chr6	157187338	157187838	501	*	5.85038025190444	6.7516857914903	2.93166087790947	3.82002491358082	1.57789229895312e-13	2.78072760143235e-10
96221	chr5	173824100	173824600	501	*	5.94714315174797	6.81494620358157	3.43354377403268	3.38140242954889	1.58476541127216e-13	2.78072760143235e-10
48080	chr17	47279027	47279527	501	*	5.99423919250927	6.85125096697966	3.58853740872058	3.26271355825908	1.68681588352505e-13	2.89220601179333e-10
75629	chr3	36677321	36677821	501	*	5.97063199183753	6.86568316312462	3.13746726527167	3.72821589785295	1.69472904263823e-13	2.89220601179333e-10
105198	chr7	21616998	21617498	501	*	5.91772549120063	6.80512903919324	3.18226030046161	3.62286873873163	1.82374997279785e-13	3.07033236974499e-10
26443	chr12	48021777	48022277	501	*	5.86439539852526	6.79808044862294	2.38807651351144	4.4100039351115	1.85989249335813e-13	3.08767357577527e-10
100561	chr6	96300964	96301464	501	*	5.83170310874201	6.73997047802897	2.81089226763094	3.92907821039803	1.88361942638862e-13	3.08767357577527e-10
41429	chr15	83372217	83372717	501	*	5.85554100232244	6.74827198008995	3.0527778393888	3.69549414070115	1.92505496294041e-13	3.11461392646856e-10
701	chr1	10108242	10108742	501	*	6.34802980726526	7.13761284475456	4.46665636277582	2.67095648197874	2.04414923329716e-13	3.26489943119735e-10
97787	chr6	19472164	19472664	501	*	5.95959550438406	6.82929216566238	3.42611375555936	3.40317841010302	2.26298348099444e-13	3.53721876450675e-10
90568	chr5	57692888	57693388	501	*	5.83141798320601	6.73061764961321	2.94211720273342	3.78850044687979	2.27143385556818e-13	3.53721876450675e-10
71607	chr21	37338995	37339495	501	*	6.10207959898899	6.9315605097449	3.93689851343309	2.99466199631181	2.33957648452053e-13	3.59835528417348e-10
77489	chr3	64238906	64239406	501	*	6.6263396011042	7.3487471208792	5.11204220417573	2.23670491670347	2.59697873266977e-13	3.94553911578942e-10
44947	chr16	77289373	77289873	501	*	5.82332972250226	6.72270061069924	2.93166087790947	3.79103973278977	2.85055365221226e-13	4.27861234393078e-10
106459	chr7	40826333	40826833	501	*	5.8141914731871696	6.72814515518146	2.70387303958399	4.02427211559747	2.94595905888371e-13	4.36917292279514e-10
9080	chr1	184156418	184157368	951	*	5.92189280463805	6.78579877437181	3.44828999110259	3.33750878326921	3.05837656360383e-13	4.48253659612152e-10
