X	seqnames	start	end	width	strand	Conc	Conc_WT	Conc_MUTANT	Fold	p.value	FDR
76181	chr3	23981877	23982377	501	*	6.40197180575499	5.32489360371601	7.01173831217188	-1.68684470845586	2.60915804092493e-8	1.05239082927634e-6
55541	chr19	27716797	27717297	501	*	6.91307983914529	6.06835878074282	7.44233263098195	-1.37397385023913	5.00091228290946e-7	1.16399215580116e-5
113015	chr8	6503164	6503664	501	*	6.22209285591367	5.22993577941742	6.80443154532401	-1.57449576590659	7.44648257802677e-7	1.60920137646993e-5
94130	chr5	103923705	103924205	501	*	7.77301153434902	7.11456856495893	8.22343185189155	-1.10886328693262	1.27016383053449e-6	2.47690733637142e-5
121420	chr9	96499044	96499544	501	*	6.15036846750575	5.21218685047667	6.71412185145771	-1.50193500098104	2.5681265329817e-6	4.39578986589926e-5
48219	chr17	39177255	39177755	501	*	6.53875794001298	5.70902792250866	7.0621848810252	-1.35315695851654	5.12168568630394e-6	7.69964532684317e-5
82535	chr3	170438004	170438504	501	*	7.00449127556179	6.32441813660605	7.4648316290658	-1.14041349245975	5.55419657531694e-6	8.22220730507765e-5
55581	chr19	27995789	27996289	501	*	5.0630147867557	3.61213631729809	5.77160056374424	-2.15946424644615	5.89204285207605e-6	8.62323693277068e-5
28135	chr12	65525854	65526354	501	*	7.54314307941851	6.9229625116324	7.97547237782377	-1.05250986619137	6.92874188475931e-6	9.81580837857472e-5
103688	chr6	129369187	129369687	501	*	4.81029880351173	3.13703719876922	5.56429374654628	-2.42725654777707	1.18937691464018e-5	1.52599211465496e-4
57442	chr19	53892424	53893417	994	*	6.90636192866145	6.25401794034129	7.35394562483277	-1.09992768449148	1.51741600172341e-5	1.86302027342836e-4
41794	chr15	77859264	77859764	501	*	6.51721239250689	5.79723746868551	6.9952957988803	-1.19805833019479	1.87038565011073e-5	2.20544860092811e-4
14162	chr10	32894813	32895313	501	*	6.14970661876605	5.32752623782638	6.67016757860962	-1.34264134078324	1.92738522374252e-5	2.26026320053792e-4
9173	chr1	183932287	183932787	501	*	6.12026332674677	5.25276193532164	6.6582101103219	-1.40544817500026	2.11628153765662e-5	2.43030461010725e-4
60608	chr2	58441559	58442059	501	*	6.43228629227199	5.70130570352983	6.91514049691473	-1.2138347933849	2.45843844073393e-5	2.74498576783717e-4
72068	chr21	17437844	17438344	501	*	5.19028857115255	3.99805382341611	5.83402984755283	-1.83597602413672	3.10840163891673e-5	3.32748493417608e-4
68645	chr2	240925675	240926175	501	*	5.92055421494239	5.03538698652103	6.46511402346437	-1.42972703694334	3.10904814235257e-5	3.32789616870904e-4
50389	chr17	69801923	69802423	501	*	6.03242520669561	5.15679771139634	6.57342773990007	-1.41663002850373	3.50132290272824e-5	3.66884035070943e-4
17786	chr10	110846240	110846740	501	*	6.40644671581632	5.68871576549211	6.88355096730695	-1.19483520181484	3.55259823931806e-5	3.71183750806338e-4
38930	chr15	35061378	35061878	501	*	5.47483854919982	4.42251557384942	6.07682867786877	-1.65431310401935	4.08150641101297e-5	4.158168955426e-4
9782	chr1	201135976	201136476	501	*	6.67415578177668	6.03699638925037	7.11460021057053	-1.07760382132015	4.64184111746706e-5	4.61643927426838e-4
12168	chr1	243952008	243952508	501	*	6.53256501980813	5.7725318652728	7.02776614291974	-1.25523427764694	4.70725349153403e-5	4.66831772268059e-4
